artist_name,birth_year,birth_year_key,style_name,style_count,style_years
Theo van Rysselberghe,1862,1862, Realism,,
Fernando García Ponce,1933,1933,Abstract Art,,
Fernando García Ponce,1933,1933, Abstract Expressionism,,
Fernando García Ponce,1933,1933, Contemporary Realism,,
Fernando García Ponce,1933,1933, Cubism,,
Fernando García Ponce,1933,1933, Post-Impressionism,,
Inigo Manglano-Ovalle,1961,1961,Neo-Geo,,
Inigo Manglano-Ovalle,1961,1961, Post-Minimalism,,
Richard Pousette-Dart,1916,1916,Abstract Art,,1930-1992
Richard Pousette-Dart,1916,1916, Abstract Expressionism,,
Richard Pousette-Dart,1916,1916, Academicism,,
Ethel Léontine Gabain,1883,1883,Neo-Romanticism,,
Charles-Amable Lenoir,1860,1860,Academicism,1,
Charles-Amable Lenoir,1860,1860, Unknown,,
Francisco de Zurbaran,1598,1598,Baroque,94,1625-1664
Francisco de Zurbaran,1598,1598, Unknown,,
Pieter van Hanselaere,1786,1786,Neoclassicism,8,1817-1827
Jean-Honore Fragonard,1732,1732,Rococo,70,1750-1790
Jean-Honore Fragonard,1732,1732, Unknown,,
Ion Theodorescu-Sion,1882,1882,Art Nouveau (Modern),,1925-1925
Ion Theodorescu-Sion,1882,1882, Impressionism,,
Ion Theodorescu-Sion,1882,1882, Post-Impressionism,,
Ion Theodorescu-Sion,1882,1882, Symbolism,,
Janos Mattis-Teutsch,1884,1884,Abstract Art,,1918-1925
Janos Mattis-Teutsch,1884,1884, Constructivism,,
Janos Mattis-Teutsch,1884,1884, Cubism,,
Janos Mattis-Teutsch,1884,1884, Expressionism,,
Janos Mattis-Teutsch,1884,1884, Fauvism,,
Janos Mattis-Teutsch,1884,1884, Socialist Realism,,
Apollinary Goravsky,1833,1833,Romanticism,12,1853-1897
Edouard Debat-Ponsan,1847,1847,Academicism,11,1876-1902
Thalia Flora-Karavia,1871,1871,Expressionism,,1913-1942
Thalia Flora-Karavia,1871,1871, Impressionism,,
Thalia Flora-Karavia,1871,1871, Unknown,,
Gosta Adrian-Nilsson,1884,1884,Abstract Art,,1912-1950
Gosta Adrian-Nilsson,1884,1884, Cubism,,
Gosta Adrian-Nilsson,1884,1884, Cubo-Expressionism,,
Gosta Adrian-Nilsson,1884,1884, Cubo-Futurism,,
Gosta Adrian-Nilsson,1884,1884, Dada,,
Gosta Adrian-Nilsson,1884,1884, Expressionism,,
Gosta Adrian-Nilsson,1884,1884, Orientalism,,
Gosta Adrian-Nilsson,1884,1884, Orphism,,
Gosta Adrian-Nilsson,1884,1884, Surrealism,,
Gosta Adrian-Nilsson,1884,1884, Symbolism,,
Horacio Garcia-Rossi,1929,1929,Kinetic Art,,1965-1969
Horacio Garcia-Rossi,1929,1929, Op Art,,
Herrad of Landsberg,1125,1125,Romanesque,46,1167-1167
Hildegard of Bingen,1098,1098,Romanesque,18,1165-1179
Juan de Valdes Leal,1622,1622,Baroque,17,
Juriaen van Streeck,1632,1632,Baroque,8,1670-1670
Jean-Pierre Raynaud,1947,1947,Minimalism,,1974-1990
Jean-Pierre Raynaud,1947,1947, Nouveau Réalisme,,
Giovanni da Milano,1325,1325,Proto Renaissance,,
Anne-Louis Girodet,1767,1767,Neoclassicism,,1798-1819
Anne-Louis Girodet,1767,1767, Orientalism,,
Anne-Louis Girodet,1767,1767, Romanticism,,
Nicholas of Verdun,1130,1130,Mosan art,57,1181-1205
Georges de la Tour,1593,1593,Tenebrism,60,1615-1651
Georges de la Tour,1593,1593, Unknown,,
Consuelo Hernández,1952,1952,Contemporary Realism,,2001-2012
Consuelo Hernández,1952,1952, Magic Realism,,
Consuelo Hernández,1952,1952, Realism,,
Jozsef Rippl-Ronai,1861,1861,Art Nouveau (Modern),,1892-1923
Jozsef Rippl-Ronai,1861,1861, Cloisonnism,,
Jozsef Rippl-Ronai,1861,1861, Post-Impressionism,,
Jozsef Rippl-Ronai,1861,1861, Symbolism,,
Jozsef Rippl-Ronai,1861,1861, Unknown,,
Conrad Marca-Relli,1913,1913,Abstract Expressionism,,1951-1986
Conrad Marca-Relli,1913,1913, Pop Art,,
Conrad Marca-Relli,1913,1913, Surrealism,,
Andre-Pierre Arnal,1939,1939,Art Informel,,1989-2008
Andre-Pierre Arnal,1939,1939, Cartographic Art,,
Andre-Pierre Arnal,1939,1939, Color Field Painting,,
Andre-Pierre Arnal,1939,1939, Conceptual Art,,
Andre-Pierre Arnal,1939,1939, Minimalism,,
Laszlo Moholy-Nagy,1895,1895,Constructivism,,1920-1946
Laszlo Moholy-Nagy,1895,1895, Dada,,
Laszlo Moholy-Nagy,1895,1895, Expressionism,,
Laszlo Moholy-Nagy,1895,1895, Kinetic Art,,
Laszlo Moholy-Nagy,1895,1895, Unknown,,
Giuseppe de Nittis,1846,1846,Academicism,,1870-1879
Giuseppe de Nittis,1846,1846, Impressionism,,
Giuseppe de Nittis,1846,1846, Realism,,
Jose de Guimaraes,1939,1939,Pop Art,18,1968-1994
Rudolf de Crignis,1948,1948,Minimalism,24,1991-2006
Allan D'Arcangelo,1930,1930,Pop Art,15,1962-1974
Paul Émile Chabas,1869,1869,Art Deco,,
Paul Émile Chabas,1869,1869, Art Nouveau (Modern),,
Paul Émile Chabas,1869,1869, Impressionism,,
Paul Émile Chabas,1869,1869, Kitsch,,
Paul Émile Chabas,1869,1869, Unknown,,
Jean-Michel Atlan,1913,1913,Art Informel,18,1943-1959
Robert MacPherson,1944,1944,Conceptual Art,13,1977-2005
Francesco Ribalta,1565,1565,Baroque,,
Francesco Ribalta,1565,1565, Tenebrism,,
Bernard Van Orley,1488,1488,Northern Renaissance,,
Jean-Paul Jerome,1928,1928,Hard Edge Painting,20,1955-1996
Beatriz González,1932,1932,Neo-Expressionism,,
Beatriz González,1932,1932, Outsider art,,
Beatriz González,1932,1932, Pop Art,,
Le Nain brothers,1600,1600,Baroque,44,1630-1640
Le Nain brothers,1600,1600, Unknown,,
Josefa de Obidos,1630,1630,Baroque,18,1650-1679
Josefa de Obidos,1630,1630, Unknown,,
Jan van Hemessen,1500,1500,Northern Renaissance,30,1535-1560
