artist_name,birth_year,birth_year_key,style_name,style_count,style_years
Rupprecht Geiger,1908,1908,Color Field Painting,,1955-1997
Rupprecht Geiger,1908,1908, Minimalism,,
Sean Scully,1945,1945,Color Field Painting,,1983-2004
Sean Scully,1945,1945, Minimalism,,
Sean Scully,1945,1945, Neo-Geo,,
Sean Scully,1945,1945, Neo-Minimalism,,
Sven Lukin,1934,1934,Color Field Painting,17,1963-2012
Thomas Downing,1928,1928,Color Field Painting,,1954-1954
Thomas Downing,1928,1928, Hard Edge Painting,,
Thomas Downing,1928,1928, Op Art,,
Walter Darby Bannard,1934,1934,Color Field Painting,,1959-1972
Walter Darby Bannard,1934,1934, Hard Edge Painting,,
Walter Darby Bannard,1934,1934, Lyrical Abstraction,,
Walter Darby Bannard,1934,1934, Minimalism,,
Yves Gaucher,1934,1934,Color Field Painting,,1964-1990
Yves Gaucher,1934,1934, Hard Edge Painting,,
Yves Gaucher,1934,1934, Minimalism,,
Abbas Kiarostami,1940,1940,Conceptual Art,,
Abbas Kiarostami,1940,1940, Photorealism,,
Abbas Kiarostami,1940,1940, Unknown,,
Adrian Piper,1969,1969,Conceptual Art,,
Adrian Piper,1969,1969, Feminist Art,,
Adrian Piper,1969,1969, Op Art,,
Adrian Piper,1969,1969, Performance Art,,
Adrian Piper,1969,1969, Postcolonial art,,
Ai Weiwei,1957,1957,Conceptual Art,,
Ai Weiwei,1957,1957, Excessivism,,
Ai Weiwei,1957,1957, Pop Art,,
Ai Weiwei,1957,1957, Unknown,,
Alberto Gironella,1929,1929,Conceptual Art,,1975-1975
Alberto Gironella,1929,1929, Expressionism,,
Alberto Gironella,1929,1929, Pop Art,,
Alberto Gironella,1929,1929, Surrealism,,
Alfredo Jaar,1956,1956,Conceptual Art,,
Alfredo Jaar,1956,1956, Neo-Minimalism,,
Alfredo Jaar,1956,1956, Post-Minimalism,,
Alfredo Jaar,1956,1956, Social Realism,,
Alfredo Jaar,1956,1956, Unknown,,
Allan McCollum,1944,1944,Conceptual Art,20,1970-2006
Allen Ruppersberg,1944,1944,Conceptual Art,15,1969-2006
Anselm Kiefer,1945,1945,Conceptual Art,,
Anselm Kiefer,1945,1945, Environmental (Land) Art,,
Anselm Kiefer,1945,1945, Expressionism,,
Anselm Kiefer,1945,1945, Neo-Expressionism,,
Anselm Kiefer,1945,1945, New European Painting,,
Anselm Kiefer,1945,1945, Surrealism,,
Banksy,1974,1974,Conceptual Art,,
Banksy,1974,1974, Graffiti Art,,
Banksy,1974,1974, Street art,,
Barbara Kruger,1945,1945,Conceptual Art,,1980-2007
Barbara Kruger,1945,1945, Feminist Art,,
Barton Lidice Benes,1942,1942,Conceptual Art,17,1979-2011
Bas Jan Ader,1942,1942,Conceptual Art,10,1970-1974
Ben,1926,1926,Conceptual Art,23,1962-2001
Ben,1926,1926, Unknown,,
Bernd and Hilla Becher,1931,1931,Conceptual Art,,
Billy Apple,1935,1935,Conceptual Art,,1960-2003
Billy Apple,1935,1935, Pop Art,,
Christian Boltanski,1944,1944,Conceptual Art,,1971-2008
Christian Boltanski,1944,1944, Expressionism,,
Cildo Meireles,1948,1948,Conceptual Art,14,1967-2003
Claude Rutault,1941,1941,Conceptual Art,,1973-2010
Claude Rutault,1941,1941, Minimalism,,
Damien Hirst,1965,1965,Conceptual Art,,
Damien Hirst,1965,1965, Expressionism,,
Damien Hirst,1965,1965, Neo-Pop Art,,
Damien Hirst,1965,1965, Unknown,,
Danh Vō,1975,1975,Conceptual Art,,
Dennis Oppenheim,1938,1938,Conceptual Art,,1970-1970
Dennis Oppenheim,1938,1938, Environmental (Land) Art,,
Dennis Oppenheim,1938,1938, Neo-Dada,,
Dennis Oppenheim,1938,1938, Post-Minimalism,,
Do Ho Suh,1163,1163,Conceptual Art,,
Eduardo Paolozzi,1924,1924,Conceptual Art,,1987-1987
Eduardo Paolozzi,1924,1924, Cubo-Expressionism,,
Eduardo Paolozzi,1924,1924, Pop Art,,
Eduardo Paolozzi,1924,1924, Unknown,,
Fernando Calhau,1948,1948,Conceptual Art,,1975-1996
Fernando Calhau,1948,1948, Minimalism,,
Fernando Calhau,1948,1948, Spatialism,,
Gerard Fromanger,1939,1939,Conceptual Art,,1966-1968
Gerard Fromanger,1939,1939, Pop Art,,
Giovanni Anselmo,1934,1934,Conceptual Art,,1968-2000
Giovanni Anselmo,1934,1934, Minimalism,,
Giulio Paolini,1940,1940,Conceptual Art,,1967-2011
Giulio Paolini,1940,1940, Minimalism,,
Giulio Paolini,1940,1940, Post-Minimalism,,
Hanne Darboven,1941,1941,Conceptual Art,15,1968-2007
Hans Haacke,1936,1936,Conceptual Art,16,1965-2009
Helena Almeida,1934,1934,Conceptual Art,15,1969-2002
Helio Oiticica,1937,1937,Conceptual Art,,1966-1968
Helio Oiticica,1937,1937, Minimalism,,
Helio Oiticica,1937,1937, Neo-Concretism,,
Herman de Vries,1931,1931,Conceptual Art,,1975-2013
Herman de Vries,1931,1931, Environmental (Land) Art,,
Herman de Vries,1931,1931, Minimalism,,
Hiroshi Sugimoto,1948,1948,Conceptual Art,,1978-1993
Hiroshi Sugimoto,1948,1948, Minimalism,,
Hito Steyerl,1966,1966,Conceptual Art,,
Hito Steyerl,1966,1966, Minimalism,,
Hubertine Heijermans,1936,1936,Conceptual Art,,1981-1981
Hubertine Heijermans,1936,1936, Contemporary Realism,,
Hubertine Heijermans,1936,1936, Expressionism,,
Hubertine Heijermans,1936,1936, Naturalism,,
Hubertine Heijermans,1936,1936, New Realism,,
Hubertine Heijermans,1936,1936, Realism,,
Hubertine Heijermans,1936,1936, Surrealism,,
Ilya Kabakov,1933,1933,Conceptual Art,19,1981-2014
Ion Grigorescu,1945,1945,Conceptual Art,2,1977-1978
Isa Genzken,1948,1948,Conceptual Art,16,1989-2012
James Lee Byars,1932,1932,Conceptual Art,,1959-1994
James Lee Byars,1932,1932, Minimalism,,
James Lee Byars,1932,1932, Post-Minimalism,,
Jan Dibbets,1941,1941,Conceptual Art,10,1968-2007
Joao Vieira,1989,1989,Conceptual Art,,1970-2001
Joao Vieira,1989,1989, Expressionism,,
Joao Vieira,1989,1989, Lettrism,,
John Baldessari,1931,1931,Conceptual Art,,1967-2006
John Baldessari,1931,1931, Pop Art,,
John Hilliard,1945,1945,Conceptual Art,10,1970-2005
Joseph Beuys,1921,1921,Conceptual Art,,1957-1985
Joseph Beuys,1921,1921, Neo-Dada,,
Joseph Kosuth,1945,1945,Conceptual Art,23,1965-2006
Juliao Sarmento,1948,1948,Conceptual Art,11,1976-2007
Lawrence Weiner,1942,1942,Conceptual Art,23,1969-2010
Leon Ferrari,1920,1920,Conceptual Art,21,1962-2004
Leon Tarasewicz,1957,1957,Conceptual Art,,
Leon Tarasewicz,1957,1957, Minimalism,,
Leon Tarasewicz,1957,1957, Post-Minimalism,,
Liam Gillick,1964,1964,Conceptual Art,,
Lorna Simpson,1960,1960,Conceptual Art,,
Lorna Simpson,1960,1960, Feminist Art,,
Lorna Simpson,1960,1960, Postcolonial art,,
Lothar Baumgarten,1944,1944,Conceptual Art,10,1968-2005
Lothar Baumgarten,1944,1944, Unknown,,
Louise Bourgeois,1911,1911,Conceptual Art,,
Louise Bourgeois,1911,1911, Confessional Art,,
Louise Bourgeois,1911,1911, Feminist Art,,
Louise Bourgeois,1911,1911, Minimalism,,
Louise Bourgeois,1911,1911, Surrealism,,
Louise Bourgeois,1911,1911, Unknown,,
Lourdes Castro,1930,1930,Conceptual Art,,1964-1976
Lourdes Castro,1930,1930, Pop Art,,
Luis Camnitzer,1937,1937,Conceptual Art,20,1968-2010
Lygia Clark,1920,1920,Conceptual Art,,1967-1968
Lygia Clark,1920,1920, Concretism,,
Lygia Clark,1920,1920, Neo-Concretism,,
Lygia Clark,1920,1920, Unknown,,
Lygia Pape,1927,1927,Conceptual Art,,1967-2008
Lygia Pape,1927,1927, Concretism,,
Lygia Pape,1927,1927, Neo-Concretism,,
Lygia Pape,1927,1927, Unknown,,
Marcel Broodthaers,1924,1924,Conceptual Art,17,1965-1974
Marcel Duchamp,1887,1887,Conceptual Art,,1943-1966
Marcel Duchamp,1887,1887, Cubism,,
Marcel Duchamp,1887,1887, Dada,,
Marcel Duchamp,1887,1887, Expressionism,,
Marcel Duchamp,1887,1887, Fauvism,,
Marcel Duchamp,1887,1887, Futurism,,
Marcel Duchamp,1887,1887, Kinetic Art,,
Marcel Duchamp,1887,1887, Op Art,,
Marcel Duchamp,1887,1887, Post-Impressionism,,
Marcel Duchamp,1887,1887, Surrealism,,
Marcel Duchamp,1887,1887, Symbolism,,
Marcel Duchamp,1887,1887, Unknown,,
Maria Lai,1919,1919,Conceptual Art,,1970-2006
Maria Lai,1919,1919, Post-Impressionism,,
Marko Pogacnik,1944,1944,Conceptual Art,,1965-1965
Marko Pogacnik,1944,1944, Environmental (Land) Art,,
Marko Pogacnik,1944,1944, Minimalism,,
Marko Pogacnik,1944,1944, Pop Art,,
Markus Raetz,1941,1941,Conceptual Art,,1979-2007
Markus Raetz,1941,1941, Op Art,,
Martin Creed,1968,1968,Conceptual Art,,
Martin Creed,1968,1968, Minimalism,,
Martin Kippenberger,1953,1953,Conceptual Art,,1989-1997
Martin Kippenberger,1953,1953, Neo-Expressionism,,
Matthew Barney,1967,1967,Conceptual Art,,
Matthew Barney,1967,1967, Contemporary,,
Matthew Barney,1967,1967, Performance Art,,
Matthew Barney,1967,1967, Superflat,,
Matthew Barney,1967,1967, Unknown,,
Maurizio Cattelan,1960,1960,Conceptual Art,,
Maurizio Cattelan,1960,1960, Performance Art,,
Mel Bochner,1940,1940,Conceptual Art,,1966-2012
Mel Bochner,1940,1940, Minimalism,,
Mel Ramsden,1944,1944,Conceptual Art,5,1966-1968
Michelangelo Pistoletto,1933,1933,Conceptual Art,16,1962-2009
Mihai Olos,1940,1940,Conceptual Art,,
Mihai Olos,1940,1940, Op Art,,
Mihai Olos,1940,1940, Unknown,,
Mira Schendel,1919,1919,Conceptual Art,,1964-1971
Mira Schendel,1919,1919, Lettrism,,
Mira Schendel,1919,1919, Minimalism,,
Mira Schendel,1919,1919, Neo-Concretism,,
Mircea Cantor,1977,1977,Conceptual Art,,
Mona Hatoum,1952,1952,Conceptual Art,,
Mona Hatoum,1952,1952, Performance Art,,
Mona Hatoum,1952,1952, Post-Minimalism,,
Mona Hatoum,1952,1952, Postcolonial art,,
Navjot Altaf,1949,1949,Conceptual Art,,
Navjot Altaf,1949,1949, Feminist Art,,
Navjot Altaf,1949,1949, Post-Minimalism,,
Olivier Mosset,1944,1944,Conceptual Art,,1966-2005
Olivier Mosset,1944,1944, Minimalism,,
On Kawara,1933,1933,Conceptual Art,,1965-2006
On Kawara,1933,1933, Mail Art,,
Paul Thek,1933,1933,Conceptual Art,,1964-1975
Paul Thek,1933,1933, Pop Art,,
Pierre Huyghe,1962,1962,Conceptual Art,,
Rebecca Horn,1944,1944,Conceptual Art,,1971-2004
Rebecca Horn,1944,1944, Feminist Art,,
Rebecca Horn,1944,1944, Post-Minimalism,,
Richard Artschwager,1923,1923,Conceptual Art,,1962-2008
Richard Artschwager,1923,1923, Minimalism,,
Richard Artschwager,1923,1923, Pop Art,,
Richard Prince,1949,1949,Conceptual Art,10,1973-2013
Rirkrit Tiravanija,1961,1961,Conceptual Art,,
Robert Barry,1936,1936,Conceptual Art,18,1969-2011
Robert Filliou,1926,1926,Conceptual Art,,1967-1980
Robert Filliou,1926,1926, Mail Art,,
Robert Filliou,1926,1926, Neo-Dada,,
Robert Gober,1954,1954,Conceptual Art,10,1985-2007
Robert Heinecken,1931,1931,Conceptual Art,,1965-1989
Robert Heinecken,1931,1931, Photorealism,,
Robert Morris,1734,1734,Conceptual Art,,1961-2001
Robert Morris,1734,1734, Environmental (Land) Art,,
Robert Morris,1734,1734, Minimalism,,
Roberto Chabet,1937,1937,Conceptual Art,,1970-2010
Roberto Chabet,1937,1937, Post-Minimalism,,
Roman Opalka,1931,1931,Conceptual Art,14,1965-2011
Siah Armajani,1939,1939,Conceptual Art,19,1959-2016
Sigmar Polke,1941,1941,Conceptual Art,,
Sigmar Polke,1941,1941, New European Painting,,
Sigmar Polke,1941,1941, Pop Art,,
Sol LeWitt,1928,1928,Conceptual Art,,1966-1981
Sol LeWitt,1928,1928, Minimalism,,
Sol LeWitt,1928,1928, Op Art,,
Sol LeWitt,1928,1928, Post-Painterly Abstraction,,
Stanley Brouwn,1935,1935,Conceptual Art,10,1963-2005
Stephen Prina,1954,1954,Conceptual Art,11,1993-2013
Thomas Hirschhorn,1957,1957,Conceptual Art,,
Tracey Emin,1963,1963,Conceptual Art,,
Vasiliy Ryabchenko,1954,1954,Conceptual Art,,
Vasiliy Ryabchenko,1954,1954, Contemporary,,
Vasiliy Ryabchenko,1954,1954, Expressionism,,
Vasiliy Ryabchenko,1954,1954, Light and Space,,
Vasiliy Ryabchenko,1954,1954, Neo-Expressionism,,
Vasiliy Ryabchenko,1954,1954, Neo-baroque,,
Vasiliy Ryabchenko,1954,1954, Realism,,
Vasiliy Ryabchenko,1954,1954, Transavantgarde,,
Vasiliy Ryabchenko,1954,1954, Unknown,,
Vik Muniz,1961,1961,Conceptual Art,,
Vito Acconci,1940,1940,Conceptual Art,10,1969-1991
Wade Guyton,1972,1972,Conceptual Art,,
Wade Guyton,1972,1972, Minimalism,,
Walter De Maria,1935,1935,Conceptual Art,,1967-1967
Walter De Maria,1935,1935, Environmental (Land) Art,,
Walter De Maria,1935,1935, Minimalism,,
Wanda Koop,1951,1951,Conceptual Art,,2009-2010
Wanda Koop,1951,1951, Contemporary Realism,,
Wanda Koop,1951,1951, Neo-Expressionism,,
Wanda Koop,1951,1951, Post-Painterly Abstraction,,
Wolfgang Laib,1950,1950,Conceptual Art,9,1978-2013
Wolfgang Laib,1950,1950, Unknown,,
Yoko Ono,1933,1933,Conceptual Art,,1960-2015
Yoko Ono,1933,1933, Feminist Art,,
Yoko Ono,1933,1933, Neo-Dada,,
Adolf Fleischmann,1892,1892,Concretism,,1943-1963
Adolf Fleischmann,1892,1892, Cubism,,
Adolf Fleischmann,1892,1892, Expressionism,,
Adolf Fleischmann,1892,1892, Op Art,,
Adolf Fleischmann,1892,1892, Unknown,,
Bruno Munari,1907,1907,Concretism,,1930-1991
Bruno Munari,1907,1907, Expressionism,,
Bruno Munari,1907,1907, Kinetic Art,,
Bruno Munari,1907,1907, Pop Art,,
Cesar Domela,1900,1900,Concretism,,1936-1974
Cesar Domela,1900,1900, Neoplasticism,,
Dieter Roth,1983,1983,Concretism,,1957-1962
Dieter Roth,1983,1983, Mail Art,,
Dieter Roth,1983,1983, Neo-Dada,,
Dieter Roth,1983,1983, Neo-Expressionism,,
Dieter Roth,1983,1983, Op Art,,
Dieter Roth,1983,1983, Pop Art,,
Dieter Roth,1983,1983, Post-Minimalism,,
Francois Morellet,1926,1926,Concretism,,1954-1970
Francois Morellet,1926,1926, Minimalism,,
Francois Morellet,1926,1926, Op Art,,
Georges Vantongerloo,1886,1886,Concretism,,1917-1964
Georges Vantongerloo,1886,1886, Neoplasticism,,
Georges Vantongerloo,1886,1886, Pointillism,,
Georges Vantongerloo,1886,1886, Post-Impressionism,,
Gyula Kosice,1924,1924,Concretism,,1945-1948
Gyula Kosice,1924,1924, Constructivism,,
Gyula Kosice,1924,1924, Kinetic Art,,
Henryk Stazewski,1894,1894,Concretism,21,1961-1979
Henryk Stazewski,1894,1894, Unknown,,
Leon Arthur Tutundjian,1906,1906,Concretism,,1925-1960
Leon Arthur Tutundjian,1906,1906, Surrealism,,
Lothar Charoux,1912,1912,Concretism,,1950-1975
Lothar Charoux,1912,1912, Op Art,,
Ludwig Wilding,1927,1927,Concretism,,
Ludwig Wilding,1927,1927, Kinetic Art,,
Ludwig Wilding,1927,1927, Op Art,,
Luis Sacilotto,1924,1924,Concretism,,1952-1987
Luis Sacilotto,1924,1924, Op Art,,
Richard Paul Lohse,1902,1902,Concretism,39,1949-1981
Roberto Sambonet,1924,1924,Concretism,,1954-1976
Roberto Sambonet,1924,1924, Expressionism,,
Roberto Sambonet,1924,1924, Pop Art,,
Rubem Ludolf,1932,1932,Concretism,,1956-1998
Rubem Ludolf,1932,1932, Kinetic Art,,
Rubem Ludolf,1932,1932, Op Art,,
Yaacov Agam,1928,1928,Concretism,,1953-2002
Yaacov Agam,1928,1928, Kinetic Art,,
Yaacov Agam,1928,1928, Op Art,,
Anatol Petrytsky,1895,1895,Constructivism,,1920-1928
Anatol Petrytsky,1895,1895, Cubism,,
Anatol Petrytsky,1895,1895, Expressionism,,
Edgar Negret,1920,1920,Constructivism,10,1976-1996
El Lissitzky,1890,1890,Constructivism,,1913-1929
El Lissitzky,1890,1890, Cubo-Futurism,,
El Lissitzky,1890,1890, Naïve Art (Primitivism),,
El Lissitzky,1890,1890, Socialist Realism,,
El Lissitzky,1890,1890, Suprematism,,
El Lissitzky,1890,1890, Unknown,,
Erich Buchholz,1927,1927,Constructivism,19,1919-1971
Henryk Berlewi,1894,1894,Constructivism,,1923-1953
Henryk Berlewi,1894,1894, Op Art,,
Katarzyna Kobro,1898,1898,Constructivism,9,1924-1933
Le Corbusier,1887,1887,Constructivism,,1928-1950
Le Corbusier,1887,1887, Cubism,,
Le Corbusier,1887,1887, Expressionism,,
Le Corbusier,1887,1887, Purism,,
Le Corbusier,1887,1887, Surrealism,,
Le Corbusier,1887,1887, Unknown,,
Ludwig Mies van der Rohe,1886,1886,Constructivism,,
Ludwig Mies van der Rohe,1886,1886, Minimalism,,
Margit Selska,1900,1900,Constructivism,,
Margit Selska,1900,1900, Cubism,,
Margit Selska,1900,1900, Impressionism,,
Margit Selska,1900,1900, Post-Impressionism,,
Naum Gabo,1890,1890,Constructivism,,1916-1930
Naum Gabo,1890,1890, Kinetic Art,,
Oskar Schlemmer,1888,1888,Constructivism,,1913-1936
Oskar Schlemmer,1888,1888, Cubism,,
Peter Laszlo Peri,1899,1899,Constructivism,,1921-1938
Peter Laszlo Peri,1899,1899, Social Realism,,
Ramirez Villamizar,1922,1922,Constructivism,17,1958-1999
Sandor Bortnyik,1893,1893,Constructivism,,1919-1922
Sandor Bortnyik,1893,1893, Cubism,,
Sandor Bortnyik,1893,1893, Expressionism,,
Sandor Bortnyik,1893,1893, Futurism,,
Sandor Bortnyik,1893,1893, Metaphysical art,,
Sandor Bortnyik,1893,1893, Unknown,,
Saul Steinberg,1914,1914,Constructivism,,1969-1969
Saul Steinberg,1914,1914, Cubism,,
Saul Steinberg,1914,1914, Expressionism,,
Saul Steinberg,1914,1914, Pop Art,,
Saul Steinberg,1914,1914, Surrealism,,
Vadym Meller,1884,1884,Constructivism,,1919-1923
Vadym Meller,1884,1884, Cubism,,
Vadym Meller,1884,1884, Cubo-Futurism,,
Vadym Meller,1884,1884, Expressionism,,
Vasyl Yermylov,1894,1894,Constructivism,,1912-1965
Vasyl Yermylov,1894,1894, Cubism,,
Vasyl Yermylov,1894,1894, Cubo-Futurism,,
Vasyl Yermylov,1894,1894, Expressionism,,
Vasyl Yermylov,1894,1894, Naïve Art (Primitivism),,
Vasyl Yermylov,1894,1894, Socialist Realism,,
Victor Brauner,1903,1903,Constructivism,,1929-1929
Victor Brauner,1903,1903, Cubism,,
Victor Brauner,1903,1903, Dada,,
Victor Brauner,1903,1903, Expressionism,,
Victor Brauner,1903,1903, Impressionism,,
Victor Brauner,1903,1903, Metaphysical art,,
Victor Brauner,1903,1903, Surrealism,,
Ellen Gallagher,1965,1965,Contemporary,,
Ellen Gallagher,1965,1965, Neo-Minimalism,,
Ellen Gallagher,1965,1965, Neo-Pop Art,,
Eva Janina Wieczorek,1951,1951,Contemporary,,
Eva Janina Wieczorek,1951,1951, Contemporary Realism,,
Eva Janina Wieczorek,1951,1951, Realism,,
Eva Janina Wieczorek,1951,1951, Surrealism,,
Nan Goldin,1953,1953,Contemporary,,
Nan Goldin,1953,1953, Feminist Art,,
Shadi Ghadirian,1974,1974,Contemporary,,
Shadi Ghadirian,1974,1974, Feminist Art,,
Yinka Shonibare,1962,1962,Contemporary,,
Yinka Shonibare,1962,1962, Postcolonial art,,
Alex Colville,1920,1920,Contemporary Realism,,1957-2008
Alex Colville,1920,1920, Expressionism,,
Alex Colville,1920,1920, Magic Realism,,
Alex Colville,1920,1920, Precisionism,,
Alex Colville,1920,1920, Regionalism,,
Andrew Wyeth,1917,1917,Contemporary Realism,,
Andrew Wyeth,1917,1917, Regionalism,,
Andrew Wyeth,1917,1917, Unknown,,
Aydin Aghdashloo,1940,1940,Contemporary Realism,,1980-1990
Aydin Aghdashloo,1940,1940, Neo-Expressionism,,
Aydin Aghdashloo,1940,1940, Neo-Pop Art,,
Aydin Aghdashloo,1940,1940, Surrealism,,
Aydin Aghdashloo,1940,1940, Unknown,,
Donald Sultan,1951,1951,Contemporary Realism,,1982-1987
Donald Sultan,1951,1951, Neo-Expressionism,,
Eric Fischl,1948,1948,Contemporary Realism,,1980-2009
Eric Fischl,1948,1948, Neo-Expressionism,,
Erro,1932,1932,Contemporary Realism,,1976-1976
Erro,1932,1932, Pop Art,,
Erro,1932,1932, Surrealism,,
Fairfield Porter,1907,1907,Contemporary Realism,23,1940-1974
Gilles Aillaud,1928,1928,Contemporary Realism,18,1964-1992
Haroutiun Galentz,1910,1910,Contemporary Realism,,
Haroutiun Galentz,1910,1910, Cubism,,
Haroutiun Galentz,1910,1910, Fauvism,,
Haroutiun Galentz,1910,1910, Unknown,,
Ian Bent,1938,1938,Contemporary Realism,,1970-1980
Ian Bent,1938,1938, Hyper-Realism,,
Ian Bent,1938,1938, Post-Painterly Abstraction,,
Jamie Wyeth,1946,1946,Contemporary Realism,114,1963-2008
Jane Wilson,1924,1924,Contemporary Realism,11,1960-2010
Janet Fish,1938,1938,Contemporary Realism,25,1971-2009
Jeffrey Smart,1921,1921,Contemporary Realism,,1955-2011
Jeffrey Smart,1921,1921, Hyper-Realism,,
Jeffrey Smart,1921,1921, Metaphysical art,,
Jeffrey Smart,1921,1921, Precisionism,,
Jeffrey Smart,1921,1921, Social Realism,,
Jeffrey Smart,1921,1921, Surrealism,,
John Miller,1880,1880,Contemporary Realism,,
John Miller,1880,1880, Impressionism,,
John Stuart Ingle,1933,1933,Contemporary Realism,,1984-2000
John Stuart Ingle,1933,1933, Photorealism,,
Kent Bellows,1949,1949,Contemporary Realism,,1973-2000
Kent Bellows,1949,1949, Photorealism,,
Lucian Freud,1922,1922,Contemporary Realism,,1947-2002
Lucian Freud,1922,1922, Expressionism,,
Lucian Freud,1922,1922, Surrealism,,
Marlene Dumas,1953,1953,Contemporary Realism,,
Marlene Dumas,1953,1953, Neo-Expressionism,,
Morteza Katouzian,1943,1943,Contemporary Realism,,1983-1983
Morteza Katouzian,1943,1943, Realism,,
Morteza Katouzian,1943,1943, Surrealism,,
Nelson Shanks,1937,1937,Contemporary Realism,,1987-2007
Nelson Shanks,1937,1937, Kitsch,,
Norman Ackroyd,1938,1938,Contemporary Realism,16,1971-2010
Odd Nerdrum,1944,1944,Contemporary Realism,,1968-1979
Odd Nerdrum,1944,1944, Kitsch,,
Odd Nerdrum,1944,1944, Neo-baroque,,
Odd Nerdrum,1944,1944, Unknown,,
Peter Dreher,1932,1932,Contemporary Realism,10,1972-2013
Philip Pearlstein,1924,1924,Contemporary Realism,15,1965-2006
Richard Whitney,1888,1888,Contemporary Realism,35,1973-1973
Teddy Cobeña,1973,1973,Contemporary Realism,,
Teddy Cobeña,1973,1973, Expressionism,,
Teddy Cobeña,1973,1973, Figurative Expressionism,,
Teddy Cobeña,1973,1973, Geometric,,
Joaquin Manuel Fernandez Cruzado,1781,1781,Costumbrismo,,1840-1840
Joaquin Manuel Fernandez Cruzado,1781,1781, Romanticism,,
Joaquín Domínguez Bécquer,1817,1817,Costumbrismo,,
Leonardo Alenza,1807,1807,Costumbrismo,,1840-1844
Leonardo Alenza,1807,1807, Romanticism,,
Aaron Douglas,1971,1971,Cubism,,
Aaron Douglas,1971,1971, Synthetic Cubism,,
Abraham Manievich,1881,1881,Cubism,,1919-1925
Abraham Manievich,1881,1881, Expressionism,,
Abraham Manievich,1881,1881, Fauvism,,
Abraham Manievich,1881,1881, Post-Impressionism,,
Alice Bailly,1872,1872,Cubism,,1911-1923
Alice Bailly,1872,1872, Dada,,
Alice Bailly,1872,1872, Expressionism,,
Andre Derain,1880,1880,Cubism,,1904-1914
Andre Derain,1880,1880, Divisionism,,
Andre Derain,1880,1880, Expressionism,,
Andre Derain,1880,1880, Fauvism,,
Andre Derain,1880,1880, Naïve Art (Primitivism),,
Andre Derain,1880,1880, Neo-Impressionism,,
Andre Derain,1880,1880, Neoclassicism,,
Andre Derain,1880,1880, Post-Impressionism,,
Andre Derain,1880,1880, Unknown,,
Anita Malfatti,1889,1889,Cubism,,1916-1916
Anita Malfatti,1889,1889, Expressionism,,
Anita Malfatti,1889,1889, Orientalism,,
Anita Malfatti,1889,1889, Post-Impressionism,,
Anita Malfatti,1889,1889, Unknown,,
Aristarkh Lentulov,1882,1882,Cubism,,1912-1920
Aristarkh Lentulov,1882,1882, Cubo-Futurism,,
Aristarkh Lentulov,1882,1882, Post-Impressionism,,
Aristarkh Lentulov,1882,1882, Realism,,
Bela Kadar,1877,1877,Cubism,,1920-1939
Bela Kadar,1877,1877, Expressionism,,
Bela Kadar,1877,1877, Futurism,,
Bela Kadar,1877,1877, Naïve Art (Primitivism),,
Bela Kadar,1877,1877, Post-Impressionism,,
Bela Kadar,1877,1877, Unknown,,
Bertalan Por,1880,1880,Cubism,,
Bertalan Por,1880,1880, Post-Impressionism,,
Candido Portinari,1903,1903,Cubism,,1942-1961
Candido Portinari,1903,1903, Expressionism,,
Candido Portinari,1903,1903, Muralism,,
Candido Portinari,1903,1903, Naïve Art (Primitivism),,
Candido Portinari,1903,1903, Post-Impressionism,,
Candido Portinari,1903,1903, Social Realism,,
Carlo Carra,1881,1881,Cubism,,1911-1924
Carlo Carra,1881,1881, Dada,,
Carlo Carra,1881,1881, Divisionism,,
Carlo Carra,1881,1881, Expressionism,,
Carlo Carra,1881,1881, Futurism,,
Carlo Carra,1881,1881, Impressionism,,
Carlo Carra,1881,1881, Metaphysical art,,
Carlo Carra,1881,1881, Neoclassicism,,
Carlo Carra,1881,1881, Post-Impressionism,,
Carlo Carra,1881,1881, Synthetic Cubism,,
Carlo Carra,1881,1881, Unknown,,
Carlos Merida,1957,1957,Cubism,,1948-1982
Carlos Merida,1957,1957, Muralism,,
Carlos Merida,1957,1957, Surrealism,,
Charles Lapicque,1898,1898,Cubism,,1925-1925
Charles Lapicque,1898,1898, Fauvism,,
Charles Lapicque,1898,1898, Pop Art,,
Charles Lapicque,1898,1898, Tachisme,,
Christian Schad,1894,1894,Cubism,,1916-1916
Christian Schad,1894,1894, Dada,,
Christian Schad,1894,1894, Magic Realism,,
Christian Schad,1894,1894, Verism,,
Corneliu Michailescu,1887,1887,Cubism,,
Corneliu Michailescu,1887,1887, Dada,,
Corneliu Michailescu,1887,1887, Expressionism,,
Corneliu Michailescu,1887,1887, Post-Impressionism,,
Dorrit Black,1891,1891,Cubism,,1927-1949
Dorrit Black,1891,1891, Expressionism,,
Dorrit Black,1891,1891, Impressionism,,
Eduardo Viana,1881,1881,Cubism,,1916-1923
Eduardo Viana,1881,1881, Orphism,,
Eduardo Viana,1881,1881, Post-Impressionism,,
Emil Filla,1882,1882,Cubism,,1912-1930
Emil Filla,1882,1882, Expressionism,,
Emil Filla,1882,1882, Unknown,,
Ernst Ludwig Kirchner,1880,1880,Cubism,,1928-1935
Ernst Ludwig Kirchner,1880,1880, Expressionism,,
Ernst Ludwig Kirchner,1880,1880, Fauvism,,
Ernst Ludwig Kirchner,1880,1880, Japonism,,
Ernst Ludwig Kirchner,1880,1880, Neo-Impressionism,,
