artist_name,birth_year,birth_year_key,place_name
Boris Grigoriev,1886,1886,Moscow
Botong Francisco,1912,1912,Angono
Bruno Schulz,1890,1890,Brunswick
Carlos Alonso,1929,1929,Tunuyán
Carlos Botelho,1899,1899,Lisbon
Carlos Orozco Romero,1896,1896,Guadalajara
Chaim Soutine,1893,1893,Smilavičy
Charles Cottet,1863,1863,Le Puy-en-Velay
Charles Demuth,1883,1883,Lancaster
Charles Maurin,1874,1874,Blenheim Palace
Christian Rohlfs,1849,1849,Groß Niendorf
Chronis Botsoglou,1941,1941,Thessaloniki
Constant Permeke,1886,1886,Antwerp
Corneliu Baba,1906,1906,Craiova
Costas Niarchos,1945,1945,Athens
Ding Yanyong,1902,1902,Maoming
Dora Boneva,1936,1936,Gabrovo
Dr. Atl,1875,1875,Guadalajara
Eduardo Arroyo,1937,1937,Madrid
Edvard Munch,1863,1863,Ådalsbruk
Edwin Dickinson,1891,1891,Seneca Falls
Emil Nolde,1867,1867,Nolde
Erich Heckel,1883,1883,Döbeln
Florine Stettheimer,1871,1871,Rochester
Forrest Bess,1911,1911,Bay City
Francis Gruber,1912,1912,Nancy
Fred Williams,1938,1938,Munich
George Bouzianis,1885,1885,Athens
George Mavroides,1912,1912,Piraeus
Georges Rouault,1871,1871,19th arrondissement of Paris
Gerard Sekoto,1913,1913,"Botshabelo, Free State"
Graham Sutherland,1903,1903,Streatham
Gregoire Boonzaier,1909,1909,Cape Town
Grigor Khanjyan,1926,1926,Yerevan
Hans Bellmer,1902,1902,Katowice
Helen Dahm,1878,1878,Egelshofen
Helene Schjerfbeck,1862,1862,Helsinki
Horace Pippin,1888,1888,West Chester
Hovhannes Zardaryan,1918,1918,Kars
Ilka Gedo,1921,1921,Budapest
Ion Tuculescu,1910,1910,Craiova
Irma Stern,1894,1894,Schweizer-Reneke
Istvan Farkas,1887,1887,Budapest
Istvan Ilosvai Varga,1895,1895,Kunhegyes
Ivan Albright,1897,1897,Harvey
Jacqueline Hick,1919,1919,Adelaide
James Ensor,1860,1860,Ostend
Jan Cox,1919,1919,The Hague
Jean Cocteau,1889,1889,Maisons-Laffitte
Jean Jansem,1920,1920,Bursa
Jean Paul Lemieux,1904,1904,Quebec City
Jeremy Henderson,1952,1952,Lisbellaw
John Brack,1920,1920,South Melbourne
Jose Clemente Orozco,1883,1883,Ciudad Guzmán
Jose Gutierrez Solana,1886,1886,Madrid
Jose Pancetti,1902,1902,Campinas
Josef Herman,1911,1911,Warsaw
Karl Schrag,1912,1912,Karlsruhe
Kathe Kollwitz,1867,1867,Königsberg
Kerry James Marshall,1955,1955,Birmingham
Lajos Gulacsy,1882,1882,Budapest
Laszlo Mednyanszky,1852,1852,Beckov
Leon Underwood,1890,1890,Shepherd's Bush
Ligia Macovei,1916,1916,Bucharest
Louay Kayyali,1934,1934,Aleppo
Louisa Matthiasdottir,1917,1917,Reykjavík
Lovis Corinth,1858,1858,Gvardeysk
Luigi Russolo,1885,1885,Portogruaro
Lynd Ward,1905,1905,Chicago
Magnus Enckell,1870,1870,Hamina
Margareta Sterian,1897,1897,Buzău
Marie Laurencin,1883,1883,10th arrondissement of Paris
Marin Gherasim,1937,1937,Rădăuți
Marino Marini,1901,1901,Pistoia
Mario Eloy,1900,1900,Algés
Mario Zanini,1907,1907,São Paulo
Martin Benka,1888,1888,Kostolište
Matthew Smith,1967,1967,Halifax
Max Gubler,1898,1898,Zürich
Max Pechstein,1881,1881,Zwickau
Menez,1926,1926,Lisbon
Michel Kikoine,1892,1892,Gomel
Mily Possoz,1888,1888,Lisbon
Moise Kisling,1891,1891,Kraków
Mykhailo Boychuk,1882,1882,Unknown
Nassos Daphnis,1914,1914,Greece
Nicolae Tonitza,1886,1886,Bârlad
Nikias Skapinakis,1931,1931,Lisbon
Nikolaos Lytras,1883,1883,Athens
Oskar Kokoschka,1886,1886,Pöchlarn
Otto Mueller,1874,1874,Lubawka
Ottone Rosai,1895,1895,Florence
Patrick Procktor,1936,1936,Dublin
Paul Delvaux,1897,1897,Huy
Paul Werner,1884,1884,Leipzig
Paula Modersohn-Becker,1876,1876,Dresden
Paula Rego,1935,1935,Lisbon
Periklis Vyzantios,1893,1893,Athens
Petre Abrudan,1907,1907,Sutoru
Pierre Alechinsky,1927,1927,City of Brussels
Pietro Lazzari,1895,1895,Rome
Pinchus Kremegne,1890,1890,Žaludok
Piroska Szanto,1913,1913,Kiskunfélegyháza
Prudence Heward,1896,1896,Montreal
Ramon Oviedo,1924,1924,Santa Cruz de Barahona
Remedios Varo,1908,1908,Anglès
Roberto Montenegro,1885,1885,Guadalajara
Sattar Bahlulzade,1909,1909,"Əmircan, Baku"
Sidney Nolan,1917,1917,Carlton
Sorin Ilfoveanu,1946,1946,Câmpulung
Spyros Papaloukas,1892,1892,Desfina
Theophrastos Triantafyllidis,1881,1881,İzmir
Tia Peltz,1923,1923,Bucharest
Tivadar Kosztka Csontvary,1853,1853,Sabinov
Tsuguharu Foujita,1886,1886,Tokyo
Varlin,1900,1900,Zürich
Vasile Kazar,1913,1913,Unknown
Vela Zanetti,1913,1913,Milagros
Vilho Lampi,1898,1898,Oulu
Vlady,1920,1920,Saint Petersburg
Vytautas Kasiulis,1918,1918,Simnas
Walter Gramatté,1897,1897,Berlin
Will Barnet,1911,1911,Beverly
Wolf Kahn,1927,1927,Stuttgart
Xu Beihong,1895,1895,Yixing
Xul Solar,1887,1887,San Fernando
Ernst Fuchs,1930,1930,Vienna
Jahar Dasgupta,1942,1942,Jamshedpur
Paul Wunderlich,1927,1927,Eberswalde
Sorin Dumitrescu,1946,1946,Bucharest
Wojciech Siudmak,1942,1942,Wieluń
Brian Froud,1947,1947,Winchester
Albert Marquet,1875,1875,Bordeaux
Armand Guillaumin,1841,1841,Paris
Carlos Nadal,1917,1917,Paris
Emilio Grau Sala,1911,1911,Barcelona
Frances Hodgkins,1869,1869,Dunedin
Guan Zilan,1903,1903,Shanghai
Ilya Mashkov,1881,1881,Mikhaylovskaya
John Duncan Fergusson,1874,1874,Leith
Louis Valtat,1869,1869,Dieppe
Othon Friesz,1879,1879,Le Havre
Rik Wouters,1882,1882,Mechelen
Ana Mendieta,1948,1948,Havana
Cindy Sherman,1954,1954,Glen Ridge
Faith Ringgold,1930,1930,New York City
Kara Walker,1969,1969,Stockton
Kiki Smith,1954,1954,Germany
Linder,2006,2006,Unknown
May Wilson,1905,1905,Unknown
Nalini Malani,1946,1946,Karachi
Senga Nengudi,1943,1943,Chicago
Shirin Neshat,1957,1957,Qazvin
Wangechi Mutu,1972,1972,Nairobi
Carles Delclaux Is,1818,1818,Philadelphia
Michael Hafftka,1953,1953,New York City
Nabil Kanso,1946,1946,Beirut
Sliman Mansour,1947,1947,Birzeit
Joseph Stella,1877,1877,Muro Lucano
Victor Palmov,1888,1888,Samara
Emperor Huizong,1061,1061,Kaifeng
Qiu Ying,1494,1494,Taicang
Bartolome Bermejo,1440,1440,Córdoba
Limbourg brothers,1385,1385, Nijmegen
Master Francke,1380,1380,Lower Rhine
Charles Hinman,1932,1932,Syracuse
Gunther Gerzso,1915,1915,Mexico City
Leon Polk Smith,1906,1906,Grady County
Robert Indiana,1928,1928,New Castle
Roberto Aizenberg,1928,1928,"Federal, Entre Ríos"
Ward Jackson,1929,1929,Unknown
Andrea Solario,1460,1460,Milan
Andrea del Sarto,1486,1486,Florence
Bernardino Luini,1480,1480,Dumenza
Cima da Conegliano,1459,1459,Conegliano
Correggio,1489,1489,Correggio
Defendente Ferrari,1490,1490,Chivasso
Domenico Beccafumi,1484,1484,Castelnuovo Berardenga
Donato Bramante,1444,1444,Fermignano
Dosso Dossi,1480,1480,Mirandola
Fra Bartolomeo,1472,1472,Prato
Francesco Melzi,1492,1492,Milan
Giorgione,1470,1470,Castelfranco Veneto
Giovanni Antonio Boltraffio,1466,1466,Milan
Giulio Clovio,1498,1498,Grižane-Belgrad
Giulio Romano,1499,1499,Rome
Il Sodoma,1477,1477,Vercelli
Lorenzo Lotto,1480,1480,Venice
Mariotto Albertinelli,1474,1474,Florence
Michelangelo,1994,1994,Cremona
Palma Vecchio,1480,1480,Serina
Raphael,1483,1483,Urbino
Sebastiano del Piombo,1485,1485,Venice
Titian,1490,1490,Pieve di Cadore
Vittore Carpaccio,1465,1465,Venice
Carlo Maria Mariani,1931,1931,Rome
Dan Witz,1957,1957,Chicago
Adalbert Erdeli,1891,1891,Klimovitsia
Adam Baltatu,1889,1889,Huși
Albert Dubois-Pillet,1846,1846,Paris
Albert Julius Olsson,1864,1864,London
Aleksander Gierymski,1850,1850,Warsaw
Alfred Sisley,1839,1839,Paris
Alfred Stevens,1823,1823,City of Brussels
Alfredo Andersen,1860,1860,Kristiansand Municipality
Algernon Talmage,1871,1871,Fifield
Anna Ancher,1859,1859,Skagen
Antoine Blanchard,1910,1910,Paris
Aristide Maillol,1861,1861,Banyuls-sur-Mer
Armando Reveron,1889,1889,Caracas
Arthur Lowe,1915,1915,Hayfield
Arthur Streeton,1867,1867,Duneed
Arthur Verona,1867,1867,Unknown
Asgrimur Jonsson,1876,1876,Iceland
Auguste Rodin,1840,1840,Paris
Benito Quinquela Martin,1890,1890,La Boca
Benjamin Brown,1756,1756,Swansea
Berthe Morisot,1841,1841,Bourges
Boris Schatz,1866,1866,Varniai
Camil Ressu,1880,1880,Galați
Camille Claudel,1864,1864,Fère-en-Tardenois
Camille Pissarro,1830,1830,Charlotte Amalie
Carolus-Duran,1837,1837,Lille
Charles Conder,1868,1868,Tottenham
Charles Courtney Curran,1861,1861,Hartford
Charles Reiffel,1862,1862,Indianapolis
Childe Hassam,1859,1859,Dorchester
Constantin Artachino,1870,1870,Giurgiu
Cornelis Vreedenburgh,1880,1880,Woerden
David Davies,1871,1871,Groeslon
Dimitrie Paciurea,1873,1873,Bucharest
Edgar Degas,1834,1834,Paris
Edmund Charles Tarbell,1862,1862,Groton
Edouard Manet,1832,1832,former 10th arrondissement of Paris
Edward Henry Potthast,1857,1857,Cincinnati
Emil Carlsen,1848,1848,Copenhagen
Ernest Lawson,1873,1873,Halifax
Ethel Carrick,1872,1872,London
Eugene Boudin,1824,1824,Honfleur
Eva Gonzales,1847,1847,Paris
Federico Zandomeneghi,1841,1841,Venice
Ferdynand Ruszczyc,1870,1870,Bahdanava
Fern Coppedge,1883,1883,Decatur
Firmin Baes,1874,1874,Saint-Josse-ten-Noode
Frederic Bazille,1841,1841,Montpellier
Frederic Remington,1861,1861,Canton
Frits Thaulow,1847,1847,Christiania
George Henry,1858,1858,Irvine
Georges Seurat,1859,1859,Paris
Georgina de Albuquerque,1885,1885,Taubaté
Georgios Jakobides,1853,1853,Chidira
Giovanni Boldini,1842,1842,Ferrara
Giovanni Fattori,1825,1825,Livorno
Grant Wood,1891,1891,Anamosa
Gustave Caillebotte,1848,1848,Paris
Guy Rose,1867,1867,San Gabriel
Hans Gude,1825,1825,Christiania
Harriet Backer,1845,1845,Holmestrand Municipality
Henri Catargi,1894,1894,Bucharest
Henri Gervex,1852,1852,Montmartre
Henri-Edmond Cross,1856,1856,Douai
Henry Herbert La Thangue,1859,1859,London
Henry Ossawa Tanner,1859,1859,Pittsburgh
Henry Scott Tuke,1858,1858,York
Henry Tonks,1862,1862,Birmingham
Hoca Ali Riza,1858,1858,Üsküdar
Homer Watson,1855,1855,Kitchener
Honore Daumier,1808,1808,Marseille
Horace Trenerry,1899,1899,Adelaide
Howard Pyle,1853,1853,Wilmington
Ibrahim Calli,1882,1882,Çal
Ilya Repin,1844,1844,Chuhuiv
Ioannis Altamouras,1852,1852,Florence
Ion Andreescu,1850,1850,Bucharest
Ipolit Strambu,1871,1871,Bratilovu
Isaac Levitan,1860,1860,Kėdainiai
Istvan Nagy,1939,1939,Budapest
Ivan Grohar,1867,1867,Železniki Municipality
Ivan Vladimirov,1869,1869,Vilnius
Jacques-Émile Blanche,1861,1861,16th arrondissement of Paris
James Campbell Noble,1845,1845,Edinburgh
James Charles,1851,1851,Newcastle upon Tyne
James McNeill Whistler,1834,1834,Lowell
James Tissot,1836,1836,Nantes
Janos Tornyai,1869,1869,Hódmezővásárhely
Jean Alexandru Steriadi,1880,1880,Bucharest
Joaquín Sorolla,1863,1863,Valencia
Johan Jongkind,1819,1819,Lattrop
John Atkinson Grimshaw,1836,1836,Leeds
John Henry Twachtman,1853,1853,Cincinnati
John Lavery,1856,1856,Belfast
John Peter Russell,1858,1858,Sydney
John Singer Sargent,1856,1856,Florence
Jose Malhoa,1855,1855,Caldas da Rainha
Jose Maria Velasco,1840,1840,Temascalcingo
Jules Dupre,1811,1811,Nantes
Julian Alden Weir,1852,1852,West Point
Julian Ashton,1851,1851,Addlestone
Julian Fałat,1853,1853,Tulyholove
Józef Pankiewicz,1866,1866,Lublin
Karl Edvard Diriks,1855,1855,Christiania
Karoly Ferenczy,1862,1862,Vienna
Kimon Loghi,1871,1871,Serres
Konstantinos Maleas,1879,1879,Istanbul
Konstantinos Volanakis,1837,1837,Heraklion
Laura Knight,1877,1877,Long Eaton
Leon Dabo,1864,1864,Saverne
Lesser Ury,1861,1861,Międzychód
Lilla Cabot Perry,1848,1848,Boston
Lucian Grigorescu,1894,1894,Medgidia
Marianne North,1831,1831,Hastings
Mariano Benlliure,1862,1862,Valencia
Marjorie Acker Phillips,1895,1895,Bourbon
Mary Cassatt,1844,1844,Allegheny
Matej Sternen,1870,1870,Verd
Maurice Boitel,1919,1919,Tillières-sur-Avre
Maurice Braun,1877,1877,Hungary
Maurice Prendergast,1858,1858,St. John's
Max Liebermann,1847,1847,Berlin
Maxime Maufra,1861,1861,Nantes
Maximilien Luce,1858,1858,Paris
Maynard Dixon,1875,1875,Fresno
Medi Wechsler Dinu,1908,1908,Brezoi
Micaela Eleutheriade,1900,1900,Bucharest
Mildred Anne Butler,1858,1858,Thomastown
Niccolo Cannicci,1846,1846,Florence
Nicolae Darascu,1883,1883,Giurgiu
Nicolae Grigorescu,1838,1838,Pitaru
Nicolae Vermont,1866,1866,Bacău
Nutzi Acontz,1894,1894,Focșani
Octav Angheluta,1904,1904,Brăila
Octav Bancila,1872,1872,Botoșani
Oleksandr Murashko,1875,1875,Kyiv
Panayiotis Tetsis,1925,1925,Hydra
Paul Signac,1863,1863,Paris
Peder Severin Kroyer,1851,1851,Stavanger Municipality
Pericles Pantazis,1849,1849,Athens
Philip Wilson Steer,1860,1860,Birkenhead
Pierre Emmanuel Damoye,1847,1847,Montmartre
Pierre-Auguste Renoir,1841,1841,Limoges
Pieter Wenning,1873,1873,The Hague
Pino Daeni,1939,1939,Bari
Richard Jack,1866,1866,Sunderland
Robert Brackman,1898,1898,Odesa
Robert Harris,1957,1957,Nottingham
Robert Julian Onderdonk,1882,1882,San Antonio
Robert Lewis Reid,1862,1862,Stockbridge
Robert Spencer,1879,1879,Harvard
Roderic O'Conor,1860,1860,Castleplunket
Samuel Mutzner,1884,1884,Bucharest
Sarah Purser,1848,1848,Dublin
Sever Burada,1896,1896,Craiova
Silvestro Lega,1826,1826,Modigliana
Stefan Dimitrescu,1886,1886,Huși
Stefan Popescu,1872,1872,Fințești
T. C. Steele,1847,1847,Owen County
Telemaco Signorini,1835,1835,Florence
Tetyana Yablonska,1917,1917,Smolensk
Theodor Pallady,1871,1871,Iași
Theodor Philipsen,1840,1840,Copenhagen
Theodore Robinson,1852,1852,Irasburg
Thomas Eakins,1844,1844,Philadelphia
Thomas Pollock Anshutz,1851,1851,Newport
Tom Roberts,1856,1856,Dorchester
Tom Scott,1948,1948,Los Angeles
Vasile Popescu,1925,1925,Bucharest
Vilhelm Hammershoi,1864,1864,Copenhagen
Vilhelms Purvitis,1872,1872,Zaube Parish
Vincenzo Migliaro,1858,1858,Naples
Walter Sickert,1860,1860,Munich
Wilhelm Leibl,1844,1844,Cologne
Willard Metcalf,1858,1858,Lowell
William James Glackens,1870,1870,Philadelphia
William Logsdail,1859,1859,Lincoln
William Merritt Chase,1849,1849,Nineveh
Winston Churchill,1874,1874,Blenheim Palace
Yeghishe Tadevosyan,1870,1870,Vagharshapat
Steve Wheeler,1957,1957,Unknown
Alexandre-Gabriel Decamps,1803,1803,Paris
Bada Shanren,1626,1626,Nanchang
Chen Hong,1968,1968,Shangrao
Chen Hongshou,1598,1598,Zhuji
Fu Baoshi,1904,1904,Nanchang Fu
Guan Daosheng,1262,1262,Huzhou
Guanxiu,832,832,Lanxi
Guo Xi,1020,1020,Wen County
Han Gan,706,706,Xi'an
Huang Shen,1687,1687,Ninghua County
Lan Ying,1585,1585,Hangzhou
Li Cheng,919,919,Weifang
Li Huasheng,1944,1944,Yibin
Li Tang,1049,1049,Mengzhou
Ma Yuan,1160,1160,Hangzhou
Ni Zan,1301,1301,Wuxi
Qi Baishi,1864,1864,Xiangtan County
Qian Xuan,1235,1235,Wuxing District
Shen Zhou,1427,1427,Suzhou
Shitao,1630,1630,Guilin
Tang Yin,1470,1470,Suzhou
Wang Wei,699,699,"Yongji, Shanxi"
Wu Guanzhong,1919,1919,Yixing
Xu Wei,1521,1521,Shaoxing
Ambrogio Lorenzetti,1290,1290,Siena
Gentile da Fabriano,1370,1370,Fabriano
Hans Holbein the Elder,1465,1465,Augsburg
Melchior Broederlam,1355,1355,Ypres
Pietro Lorenzetti,1280,1280,Siena
Simone Martini,1284,1284,Siena
Stefan Lochner,1410,1410,Meersburg
Pierre Bonnard,1867,1867,Fontenay-aux-Roses
Vasily Vereshchagin,1842,1842,Cherepovets
Owon,1843,1843,Korea
Antonio Berni,1905,1905,Rosario
El Anatsui,1944,1944,Ghana
John Chamberlain,1927,1927,Rochester
Abraham Palatnik,1928,1928,Natal
Antonio Asis,1932,1932,Buenos Aires
Carlos Cruz-Diez,1923,1923,Caracas
George Rickey,1904,1904,South Bend
Grazia Varisco,1937,1937,Milan
Heinz Mack,1931,1931,Lollar
Jean Tinguely,1925,1925,Fribourg
Jesus Rafael Soto,1923,1923,Ciudad Bolívar
Julio Le Parc,1928,1928,Mendoza
Takis,1925,1925,Athens
Harrison Fisher,1875,1875,Brooklyn
John Kacere,1920,1920,Walker
Luis Ricardo Falero,1851,1851,Granada
Mahmoud Farshchian,1930,1930,Isfahan
Rolf Ohst,1952,1952,Lübeck
Émile Friant,1863,1863,Dieuze
Isidore Isou,1925,1925,Botoșani
Jacques Villeglé,1926,1926,Quimper
Jo Baer,1929,1929,Seattle
De Wain Valentine,1936,1936,Fort Collins
Doug Wheeler,1939,1939,Unknown
Fred Eversley,1941,1941,Brooklyn
Gregg Renfrow,1948,1948,San Francisco
Helen Pashgian,1934,1934,Pasadena
Laddie John Dill,1943,1943,Long Beach
Marc Vaux,1895,1895,Crulai
Mary Corse,1945,1945,Berkeley
Nanda Vigo,1936,1936,Milan
Norman Zammitt,1931,1931,Unknown
Olafur Eliasson,1967,1967,Copenhagen
Peter Alexander,1926,1926,Vienna
Robert Irwin,1946,1946,Guildford
Ron Cooper,1943,1943,New York City
Kenny Scharf,1958,1958,Hollywood
Robert Williams,1959,1959,Felling
Asher Brown Durand,1796,1796,Maplewood
David Johnson,1930,1930,Liverpool
Emile Claus,1849,1849,Sint-Eloois-Vijve
Frederic Edwin Church,1826,1826,Hartford
Jasper Francis Cropsey,1823,1823,Staten Island
John Frederick Kensett,1816,1816,Cheshire
Martin Johnson Heade,1819,1819,Bucks County
Albert Bitran,1931,1931,Istanbul
Ali Omar Ermes,1945,1945,Tripoli
Genevieve Asse,1923,1923,Vannes
Gillian Ayres,1930,1930,Barnes
Gustave Singier,1909,1909,"Warneton, Belgium"
Kazuaki Tanahashi,1933,1933,Japan
Olga Albizu,1924,1924,Ponce
Otto Piene,1928,1928,Bad Laasphe
Stanley Boxer,1926,1926,New York City
Antonio Donghi,1897,1897,Rome
Arturo Rivera,1945,1945,Mexico City
Cagnaccio di San Pietro,1897,1897,Desenzano del Garda
Carel Willink,1900,1900,Amsterdam
Eric Ravilious,1903,1903,London
Eyvind Earle,1916,1916,New York
George Tooker,1920,1920,Brooklyn
Leonor Fini,1908,1908,Buenos Aires
Nicolae Maniu,1944,1944,Turda
Peter Doig,1959,1959,Edinburgh
Pierre Roy,1880,1880,Nantes
Stefan Caltia,1942,1942,Brașov
Zhang Xiaogang,1958,1958,Kunming
Hans von Aachen,1552,1552,Cologne
Tobias Verhaecht,1561,1561,Antwerp
Yu Youhan,1943,1943,Shanghai
Richard Lindner,1901,1901,Hamburg
Toros Roslin,1210,1210,Unknown
Giorgio de Chirico,1888,1888,Volos
Mario Tozzi,1895,1895,Fossombrone
Alan Charlton,1952,1952,Sheffield
Alex Hay,1964,1964,Birkenhead
Andre Cadere,1934,1934,Warsaw
Antonio Calderara,1903,1903,Abbiategrasso
Bruce Nauman,1941,1941,Fort Wayne
Christopher Wilmarth,1943,1943,Sonoma
Dadamaino,1930,1930,Milan
Derek Boshier,1937,1937,Unknown
Edward Krasinski,1925,1925,Lutsk
Ettore Spalletti,1940,1940,Cappelle sul Tavo
Fred Sandback,1943,1943,Bronxville
Gego,1912,1912,Hamburg
Gianni Piacentino,1945,1945,Coazze
James Bishop,1816,1816,New Brunswick
James Licini,1937,1937,Zürich
Jan Groth,1938,1938,"Stavanger, Norway"
Jeremy Moon,1934,1934,Altrincham
Joachim Bandau,1936,1936,Cologne
Katsuhito Nishikawa,1949,1949,Tokyo
Keith Sonnier,1941,1941,Mamou
Kishio Suga,1944,1944,Morioka
Kuno Gonschior,1935,1935,Wanne-Eickel
Lyman Kipp,1929,1929,Dobbs Ferry
Lynda Benglis,1941,1941,Lake Charles
Martial Raysse,1936,1936,Golfe-Juan
Martin Barre,1946,1946,Birmingham
Michel Parmentier,1938,1938,Paris
Niele Toroni,1937,1937,Muralto
Paul Brach,1924,1924,New York City
Peter Downsbrough,1940,1940,New Brunswick
Phil Sims,1940,1940,Unknown
Pierre Soulages,1919,1919,Rodez
Pino Pinelli,1928,1928,Milan
Richard Serra,1938,1938,San Francisco
Robert Grosvenor,1910,1910,London
Robert Mangold,1937,1937,North Tonawanda
Robert Ryman,1930,1930,Nashville
Roman Cotosman,1935,1935,Jimbolia
Ronald Bladen,1918,1918,Vancouver
Ruth Vollmer,1903,1903,New York City
Sheila Hicks,1934,1934,Hastings
Stephen Antonakos,1926,1926,Agios Nikolaos
Tess Jaray,1937,1937,Vienna
Tony Smith,1912,1912,South Orange
Victor Bonato,1934,1934,Cologne
Emiliano Di Cavalcanti,1897,1897,Rio de Janeiro
Jesus Helguera,1910,1910,Chihuahua City
Jose Guadalupe Posada,1852,1852,Aguascalientes City
Pedro Figari,1861,1861,Montevideo
Rene Portocarrero,1912,1912,Cerro
Victor Brecheret,1894,1894,"Farnese, Lazio"
Andrei Rublev,1360,1360,Grand Principality of Moscow
Ende,1000,1000,http://www.wikidata.org/.well-known/genid/195b98d5a287e59da0431440f78583d4
Facundus,300,300,León
Carlos Almaraz,1941,1941,Mexico City
Manuel Rodríguez Lozano,1891,1891,Mexico City
Emily Kame Kngwarreye,1910,1910,Northern Territory
John Muafangejo,1943,1943,Angola
Johnny Warangkula Tjupurrula,1925,1925,Napperby Station
Stephen Mopope,1898,1898,Unknown
Alfred Parsons,1925,1925,Hobart
Archibald Thorburn,1860,1860,Hascombe
August Friedrich Schenck,1828,1828,Unknown
Carl Rungius,1869,1869,Neukölln
Charles Tunnicliffe,1901,1901,Langley
Edward Lear,1812,1812,Highgate
John James Audubon,1785,1785,Les Cayes
Maria Sibylla Merian,1647,1647,Frankfurt
Marie Bashkirtseff,1860,1860,Unknown
Richard Friese,1854,1854,Gusev
William Henry Hunt,1823,1823,Charleston
Aldemir Martins,1922,1922,Aurora
Aleksandr Deyneka,1899,1899,Kursk
Christopher Wood,1935,1935,Lambeth
Fernando Botero,1932,1932,Medellín
Frida Kahlo,1907,1907,Coyoacán
George Caleb Bingham,1811,1811,Augusta County
Jean-Michel Basquiat,1960,1960,Park Slope
Niko Pirosmani,1862,1862,Mirzaani
Norval Morrisseau,1931,1931,Greenstone
Sergei Parajanov,1924,1924,Tbilisi
Vangel Naumovski,1922,1922,Ohrid
Amilcar de Castro,1920,1920,Paraisópolis
Alison Knowles,1933,1933,New York City
Claes Oldenburg,1929,1929,Stockholm
Daniel Spoerri,1930,1930,Galați
Gianfranco Baruchello,1924,1924,Livorno
Jim Dine,1935,1935,Cincinnati
Jimmie Durham,1940,1940,Houston
John Armleder,1948,1948,Geneva
Marisol Escobar,1930,1930,16th arrondissement of Paris
Mark Dion,1961,1961,New Bedford
Nam June Paik,1932,1932,Seoul
Adrian Ghenie,1977,1977,Baia Mare
Adriana Varejão,1964,1964,Rio de Janeiro
Anish Kapoor,1954,1954,Mumbai
Betty Goodwin,1923,1923,Montreal
Chris Ofili,1968,1968,Manchester
Dana Schutz,1976,1976,Livonia
David Park,1911,1911,Boston
Denise Green,1946,1946,Melbourne
Enzo Cucchi,1949,1949,Morro d'Alba
Georg Baselitz,1938,1938,Kamenz
Henry Villierme,1928,1928,San Francisco
Jenny Saville,1970,1970,Cambridge
Jorg Immendorff,1945,1945,Bleckede
Julian Schnabel,1951,1951,New York City
Keith Haring,1958,1958,Reading
Landon Mackenzie,1954,1954,Boston
Martha Diamond,1944,1944,Manhattan
Martin Disler,1949,1949,Seewen
Michel Majerus,1967,1967,Esch-sur-Alzette
Rainer Fetting,1949,1949,Wilhelmshaven
Roger Raveel,1921,1921,Machelen
Roland Petersen,1926,1926,Unknown
Susan Rothenberg,1945,1945,Buffalo
Tony Scherman,1950,1950,Toronto
Wilhelm Sasnal,1972,1972,Tarnów
Benjamin Canas,1933,1933,Unknown
Enrique Grau,1920,1920,Spain
José Luis Cuevas,1881,1881,Unknown
Charles Angrand,1854,1854,Criquetot-sur-Ouville
Gaylen Gerber,1955,1955,McAllen
Silviu Oravitzan,1941,1941,Unknown
Ashley Bickerton,1959,1959,Barbados
Beatriz Milhazes,1960,1960,Rio de Janeiro
Bill Woodrow,1948,1948,Oxfordshire
Gary Hume,1962,1962,Tenterden
Jeff Koons,1955,1955,York
Julian Opie,1958,1958,London
Romero Britto,1963,1963,Recife
Takashi Murakami,1962,1962,Tokyo
Wang Guangyi,1957,1957,Harbin
Gilbert Stuart,1755,1755,North Kingstown
Graham Bell,1847,1847,Edinburgh
Harald Sohlberg,1869,1869,Christiania
Stanley Spencer,1891,1891,Cookham
Walter Crane,1845,1845,Liverpool
Abraham van Strij,1753,1753,Dordrecht
Angelica Kauffman,1741,1741,Chur
Antoine-Jean Gros,1771,1771,Paris
Antonio Canova,1757,1757,Possagno
Bartolomeo Pinelli,1771,1771,Rome
Benjamin West,1738,1738,Springfield Township
Camille Corot,1796,1796,Paris
Carle Vernet,1758,1758,Bordeaux
Charles Despiau,1874,1874,Mont-de-Marsan
Charles Willson Peale,1741,1741,Chester
Christian August Lorentzen,1749,1749,Sønderborg
Christoffer Wilhelm Eckersberg,1783,1783,Blåkrog
Claude-Joseph Vernet,1753,1753,Unknown
David Allan,1744,1744,Alloa
Dmitry Levitzky,1735,1735,Kyiv
Domingos Sequeira,1768,1768,Santa Maria de Belém
Edmonia Lewis,1844,1844,"Greenbush, Rensselaer County, New York"
Francisco Bayeu y Subias,1734,1734,Zaragoza
Francisco Goya,1746,1746,Fuendetodos
François Gérard,1770,1770,Rome
Fyodor Alekseyev,1753,1753,Saint Petersburg
George Dawe,1781,1781,London
Gheorghe Tattarescu,1820,1820,Focșani
Giacomo Quarenghi,1744,1744,Rota d'Imagna
Giovanni Battista Piranesi,1720,1720,Mogliano Veneto
Jacob van Strij,1756,1756,Dordrecht
Jacques-Louis David,1748,1748,Paris
Jean Auguste Dominique Ingres,1780,1780,Montauban
Jean-Antoine Houdon,1741,1741,Versailles
Jean-Baptiste Pigalle,1714,1714,Rueil-Malmaison
John Flaxman,1755,1755,York
John Gibson,1970,1970,Australia
