artist1_name,birth_year1,birth_year1_key,artist2_name,relationship_type
Lee Krasner,1908,1908,Henri Matisse,Influenced By
Lee Krasner,1908,1908,Piet Mondrian,Influenced By
Lee Krasner,1908,1908,Willem de Kooning,Influenced By
Lee Krasner,1908,1908,Jackson Pollock,Influenced By
Lee Krasner,1908,1908,Jasper Johns,Influenced On
Lee Krasner,1908,1908,Jackson Pollock,Friend
Man Ray,1890,1890,Paul Cezanne,Influenced By
Man Ray,1890,1890,Auguste Rodin,Influenced By
Man Ray,1890,1890,Henri Matisse,Influenced By
Man Ray,1890,1890,Andy Warhol,Influenced On
Man Ray,1890,1890,Laszlo Moholy-Nagy,Influenced On
Man Ray,1890,1890,Salvador Dali,Friend
Man Ray,1890,1890,Marcel Duchamp,Friend
Man Ray,1890,1890,Francis Picabia,Friend
Man Ray,1890,1890,Pablo Picasso,Friend
Man Ray,1890,1890,Alfred Stieglitz,Friend
Mark Rothko,1903,1903,Edward Hopper,Influenced By
Mark Rothko,1903,1903,Ad Reinhardt,Influenced By
Mark Rothko,1903,1903,Caspar David Friedrich,Influenced By
Mark Rothko,1903,1903,Salvador Dali,Influenced By
Mark Rothko,1903,1903,Helmut Federle,Influenced On
Mark Rothko,1903,1903,Jackson Pollock,Friend
Ossip Zadkine,1888,1888,Marc Chagall,Influenced By
Ossip Zadkine,1888,1888,Auguste Rodin,Influenced By
Paul Klee,1879,1879,Edvard Munch,Influenced By
Paul Klee,1879,1879,Robert Delaunay,Influenced By
Paul Klee,1879,1879,Franz Marc,Influenced By
Paul Klee,1879,1879,Karl Otto Gotz,Influenced On
Paul Klee,1879,1879,Nasreen Mohamedi,Influenced On
Paul Klee,1879,1879,Dieter Roth,Influenced On
Paul Klee,1879,1879,Josef Albers,Friend
Paul Klee,1879,1879,Wassily Kandinsky,Friend
Paul Klee,1879,1879,August Macke,Friend
Paul Klee,1879,1879,Vadym Meller,Friend
Roman Selsky,1903,1903,Karlo Zvirynsky,Teacher
Roman Selsky,1903,1903,Paul Cezanne,Influenced By
Roman Selsky,1903,1903,Fernand Leger,Friend
Roman Selsky,1903,1903,Robert Delaunay,Friend
Roman Selsky,1903,1903,Sonia Delaunay,Friend
Roman Selsky,1903,1903,Aleksandra Ekster,Friend
Roman Selsky,1903,1903,Piet Mondrian,Friend
Roy Lichtenstein,1923,1923,Fernand Leger,Influenced By
Roy Lichtenstein,1923,1923,Allan Kaprow,Friend
Sonia Delaunay,1885,1885,Vadym Meller,Friend
Sonia Delaunay,1885,1885,Roman Selsky,Friend
Sonia Delaunay,1885,1885,Margit Selska,Friend
Theo van Doesburg,1883,1883,Gustav Klimt,Influenced By
Theo van Doesburg,1883,1883,Piet Mondrian,Friend
Vladimir Tatlin,1885,1885,Victor Palmov,Friend
Vladimir Tatlin,1885,1885,Alexander Khvostenko-Khvostov,Friend
Vladimir Tatlin,1885,1885,Vadym Meller,Friend
Wassily Kandinsky,1866,1866,Edvard Munch,Influenced By
Wassily Kandinsky,1866,1866,Aristarkh Lentulov,Influenced By
Wassily Kandinsky,1866,1866,Robert Delaunay,Influenced By
Wassily Kandinsky,1866,1866,Paul Cezanne,Influenced By
Wassily Kandinsky,1866,1866,Claude Monet,Influenced By
Wassily Kandinsky,1866,1866,Josef Albers,Influenced On
Wassily Kandinsky,1866,1866,Egon Schiele,Influenced On
Wassily Kandinsky,1866,1866,Georgia O'Keeffe,Influenced On
Wassily Kandinsky,1866,1866,Karl Otto Gotz,Influenced On
Wassily Kandinsky,1866,1866,Nasreen Mohamedi,Influenced On
Wassily Kandinsky,1866,1866,William Baziotes,Influenced On
Wassily Kandinsky,1866,1866,Arshile Gorky,Influenced On
Wassily Kandinsky,1866,1866,Hans Hofmann,Influenced On
Wassily Kandinsky,1866,1866,Paul Klee,Friend
Wassily Kandinsky,1866,1866,Franz Marc,Friend
Wassily Kandinsky,1866,1866,Alexej von Jawlensky,Friend
Wassily Kandinsky,1866,1866,Vadym Meller,Friend
Winifred Nicholson,1893,1893,Christopher Wood,Friend
Allan Kaprow,1927,1927,Wolf Kahn,Friend
Allan Kaprow,1927,1927,Roy Lichtenstein,Friend
Allan Kaprow,1927,1927,George Segal,Friend
Andy Warhol,1928,1928,Robert Rauschenberg,Influenced By
Andy Warhol,1928,1928,Jasper Johns,Influenced By
Andy Warhol,1928,1928,Marcel Duchamp,Influenced By
Andy Warhol,1928,1928,Frank Stella,Influenced By
Andy Warhol,1928,1928,John Cage,Influenced By
Andy Warhol,1928,1928,Georgia O'Keeffe,Influenced By
Andy Warhol,1928,1928,Man Ray,Influenced By
Andy Warhol,1928,1928,Damien Hirst,Influenced On
Andy Warhol,1928,1928,Jeff Koons,Influenced On
Andy Warhol,1928,1928,Gerhard Richter,Influenced On
Andy Warhol,1928,1928,Wolfgang Tillmans,Influenced On
Andy Warhol,1928,1928,Larry Rivers,Friend
Andy Warhol,1928,1928,Philip Pearlstein,Friend
Andy Warhol,1928,1928,Jean-Michel Basquiat,Friend
Andy Warhol,1928,1928,Francesco Clemente,Friend
Andy Warhol,1928,1928,Salvador Dali,Friend
Arshile Gorky,1904,1904,Pablo Picasso,Influenced By
Arshile Gorky,1904,1904,Wassily Kandinsky,Influenced By
Arshile Gorky,1904,1904,Ivan Eyre,Influenced On
Arshile Gorky,1904,1904,Morris Louis,Friend
Arshile Gorky,1904,1904,Giorgio Cavallon,Friend
Barnett Newman,1905,1905,Ad Reinhardt,Influenced By
Barnett Newman,1905,1905,Jackson Pollock,Friend
Blinky Palermo,1943,1943,Joseph Beuys,Pupil
Blinky Palermo,1943,1943,Gerhard Richter,Friend
Cy Twombly,1928,1928,Alberto Giacometti,Influenced By
Cy Twombly,1928,1928,Franz Kline,Influenced By
Cy Twombly,1928,1928,Jean Dubuffet,Influenced By
Cy Twombly,1928,1928,Jackson Pollock,Influenced By
Cy Twombly,1928,1928,Willem de Kooning,Influenced By
Cy Twombly,1928,1928,Robert Motherwell,Influenced By
Cy Twombly,1928,1928,Jean-Michel Basquiat,Influenced On
Cy Twombly,1928,1928,Francesco Clemente,Influenced On
Cy Twombly,1928,1928,Jasper Johns,Friend
Cy Twombly,1928,1928,Robert Rauschenberg,Friend
Edward Ruscha,1937,1937,Edward Hopper,Influenced By
Eva Hesse,1936,1936,Nasreen Mohamedi,Influenced On
Frank Stella,1936,1936,Ad Reinhardt,Influenced By
Frank Stella,1936,1936,Morris Louis,Influenced By
Frank Stella,1936,1936,Fernand Leger,Influenced By
Frank Stella,1936,1936,Andy Warhol,Influenced On
Frank Stella,1936,1936,Sarah Morris,Influenced On
Frank Stella,1936,1936,Jessica Stockholder,Influenced On
Gerhard Richter,1932,1932,Karl Otto Gotz,Pupil
Gerhard Richter,1932,1932,Caspar David Friedrich,Influenced By
Gerhard Richter,1932,1932,Jackson Pollock,Influenced By
Gerhard Richter,1932,1932,Lucio Fontana,Influenced By
Gerhard Richter,1932,1932,Robert Rauschenberg,Influenced By
Gerhard Richter,1932,1932,Andy Warhol,Influenced By
Gerhard Richter,1932,1932,Ellsworth Kelly,Influenced On
Gerhard Richter,1932,1932,Wolfgang Tillmans,Influenced On
Gerhard Richter,1932,1932,Blinky Palermo,Friend
Gerhard Richter,1932,1932,Sigmar Polke,Friend
Gerhard Richter,1932,1932,Joseph Beuys,Friend
Gerhard Richter,1932,1932,Georg Baselitz,Friend
Giorgio Cavallon,1904,1904,Arshile Gorky,Friend
Gotthard Graubner,1930,1930,Caspar David Friedrich,Influenced By
Hans Hofmann,1880,1880,Helen Frankenthaler,Teacher
Hans Hofmann,1880,1880,Aaron Shikler,Teacher
Hans Hofmann,1880,1880,Wassily Kandinsky,Influenced By
Hans Hofmann,1880,1880,Helen Frankenthaler,Influenced On
Helen Frankenthaler,1928,1928,Rufino Tamayo,Pupil
Helen Frankenthaler,1928,1928,Hans Hofmann,Pupil
Helen Frankenthaler,1928,1928,Hans Hofmann,Influenced By
Helen Frankenthaler,1928,1928,Jackson Pollock,Influenced By
Helen Frankenthaler,1928,1928,Willem de Kooning,Influenced By
Helen Frankenthaler,1928,1928,Kenneth Noland,Influenced On
Helen Frankenthaler,1928,1928,Morris Louis,Influenced On
Helen Frankenthaler,1928,1928,Jules Olitski,Influenced On
Ivan Eyre,1935,1935,Willem de Kooning,Influenced By
Ivan Eyre,1935,1935,Max Beckmann,Influenced By
Ivan Eyre,1935,1935,Joan Miro,Influenced By
Ivan Eyre,1935,1935,Arshile Gorky,Influenced By
Jack Tworkov,1900,1900,Morris Louis,Friend
Jackson Pollock,1912,1912,El Greco,Influenced By
Jackson Pollock,1912,1912,Pablo Picasso,Influenced By
Jackson Pollock,1912,1912,Paul Cezanne,Influenced By
Jackson Pollock,1912,1912,Thomas Hart Benton,Influenced By
Jackson Pollock,1912,1912,Jose Clemente Orozco,Influenced By
Jackson Pollock,1912,1912,Joan Miro,Influenced By
Jackson Pollock,1912,1912,Chaim Soutine,Influenced By
Jackson Pollock,1912,1912,David Alfaro Siqueiros,Influenced By
Jackson Pollock,1912,1912,Salvador Dali,Influenced By
Jackson Pollock,1912,1912,Yves Tanguy,Influenced By
Jackson Pollock,1912,1912,Helen Frankenthaler,Influenced On
Jackson Pollock,1912,1912,Cy Twombly,Influenced On
Jackson Pollock,1912,1912,Morris Louis,Influenced On
Jackson Pollock,1912,1912,Lee Krasner,Influenced On
Jackson Pollock,1912,1912,Robert Morris,Influenced On
Jackson Pollock,1912,1912,Kenneth Noland,Influenced On
Jackson Pollock,1912,1912,Franz Kline,Influenced On
Jackson Pollock,1912,1912,Gerhard Richter,Influenced On
Jackson Pollock,1912,1912,Lee Krasner,Friend
Jackson Pollock,1912,1912,Robert Motherwell,Friend
Jackson Pollock,1912,1912,Mark Rothko,Friend
Jackson Pollock,1912,1912,Willem de Kooning,Friend
Jackson Pollock,1912,1912,Barnett Newman,Friend
Jackson Pollock,1912,1912,Philip Guston,Friend
Jackson Pollock,1912,1912,Ad Reinhardt,Friend
Joan Miro,1893,1893,Marc Chagall,Influenced By
Joan Miro,1893,1893,Morris Louis,Influenced On
Joan Miro,1893,1893,Jackson Pollock,Influenced On
Joan Miro,1893,1893,Salvador Dali,Influenced On
Joan Miro,1893,1893,Ivan Eyre,Influenced On
Joan Miro,1893,1893,Yves Tanguy,Friend
John Cage,1912,1912,Andy Warhol,Influenced On
Morris Louis,1912,1912,Helen Frankenthaler,Influenced By
Morris Louis,1912,1912,Joan Miro,Influenced By
Morris Louis,1912,1912,Jackson Pollock,Influenced By
Morris Louis,1912,1912,Frank Stella,Influenced On
Morris Louis,1912,1912,Ellsworth Kelly,Influenced On
Morris Louis,1912,1912,Kenneth Noland,Friend
Morris Louis,1912,1912,Jack Tworkov,Friend
Morris Louis,1912,1912,Arshile Gorky,Friend
Morris Louis,1912,1912,David Alfaro Siqueiros,Friend
Nasreen Mohamedi,1937,1937,Kazimir Malevich,Influenced By
Nasreen Mohamedi,1937,1937,Wassily Kandinsky,Influenced By
Nasreen Mohamedi,1937,1937,Paul Klee,Influenced By
Nasreen Mohamedi,1937,1937,Eva Hesse,Influenced By
Pedro Coronel,1922,1922,Diego Rivera,Influenced By
Pedro Coronel,1922,1922,Rufino Tamayo,Influenced By
Pedro Coronel,1922,1922,Victor Brauner,Friend
Philip Guston,1913,1913,Jose Clemente Orozco,Influenced By
Philip Guston,1913,1913,Dana Schutz,Influenced On
Philip Guston,1913,1913,Jackson Pollock,Friend
Robert Rauschenberg,1925,1925,Andy Warhol,Influenced On
Robert Rauschenberg,1925,1925,Gerhard Richter,Influenced On
Robert Rauschenberg,1925,1925,Wolfgang Tillmans,Influenced On
Robert Rauschenberg,1925,1925,Cy Twombly,Friend
Victor Zaretsky,,-999999,Sergiy Grigoriev,Pupil
Victor Zaretsky,,-999999,Gustav Klimt,Influenced By
William Baziotes,1912,1912,Wassily Kandinsky,Influenced By
Albert Joseph Moore,1841,1841,London,Influenced By
Albert Joseph Moore,1841,1841,UK,Influenced By
Alexandre Cabanel,1823,1823,Aristide Maillol,Teacher
Alexandre Cabanel,1823,1823,Henri Gervex,Teacher
Auguste Toulmouche,1829,1829,Charles Gleyre,Pupil
Charles Gleyre,1806,1806,Claude Monet,Teacher
Charles Gleyre,1806,1806,Pierre-Auguste Renoir,Teacher
Charles Gleyre,1806,1806,Alfred Sisley,Teacher
Charles Gleyre,1806,1806,James McNeill Whistler,Teacher
Charles Gleyre,1806,1806,Jean-Leon Gerome,Teacher
Charles Gleyre,1806,1806,Auguste Toulmouche,Teacher
Charles Gleyre,1806,1806,Frederic Bazille,Teacher
Charles Gleyre,1806,1806,Daniel Ridgway Knight,Teacher
Charles Gleyre,1806,1806,Edward Poynter,Teacher
Charles Gleyre,1806,1806,Jean Lecomte du Nouÿ,Teacher
Charles Gleyre,1806,1806,Richard Parkes Bonington,Pupil
Charles Gleyre,1806,1806,Jean Lecomte du Nouÿ,Influenced On
Charles Gleyre,1806,1806,Horace Vernet,Friend
Charles Sprague Pearce,1851,1851,Leon Bonnat,Pupil
Claude Monet,1840,1840,Eugene Boudin,Pupil
Claude Monet,1840,1840,Charles Gleyre,Pupil
Claude Monet,1840,1840,Gustave Courbet,Influenced By
Claude Monet,1840,1840,Charles-Francois Daubigny,Influenced By
Claude Monet,1840,1840,John Constable,Influenced By
Claude Monet,1840,1840,J.M.W. Turner,Influenced By
Claude Monet,1840,1840,Jean-Francois Millet,Influenced By
Claude Monet,1840,1840,Alfred Sisley,Influenced By
Claude Monet,1840,1840,Jacob van Ruisdael,Influenced By
Claude Monet,1840,1840,Childe Hassam,Influenced On
Claude Monet,1840,1840,Robert Delaunay,Influenced On
Claude Monet,1840,1840,Wassily Kandinsky,Influenced On
Claude Monet,1840,1840,Frank W. Benson,Influenced On
Claude Monet,1840,1840,Alfred Sisley,Friend
Claude Monet,1840,1840,Pierre-Auguste Renoir,Friend
Claude Monet,1840,1840,Camille Pissarro,Friend
Claude Monet,1840,1840,Edouard Manet,Friend
Claude Monet,1840,1840,Frederic Bazille,Friend
Edward Poynter,1836,1836,Charles Gleyre,Pupil
Edward Poynter,1836,1836,Frederic Leighton,Influenced By
Edward Poynter,1836,1836,James McNeill Whistler,Friend
Francesco Hayez,1791,1791,Paris,Influenced By
Frederic Leighton,1830,1830,London,Pupil
Frederic Leighton,1830,1830,UK,Pupil
Frederic Leighton,1830,1830,Edward Poynter,Influenced By
Frederic Leighton,1830,1830,Edward Poynter,Influenced On
Georg Pauli,1855,1855,André Lhote,Pupil
Gustave Boulanger,1824,1824,Thomas Dewing,Teacher
Gustave Boulanger,1824,1824,Edward E. Simmons,Teacher
Jules Joseph Lefebvre,1834,1834,Charles Maurin,Teacher
Jules Joseph Lefebvre,1834,1834,Thomas Dewing,Teacher
Jules Joseph Lefebvre,1834,1834,Edward E. Simmons,Teacher
Leon Bonnat,1833,1833,Edvard Munch,Teacher
Leon Bonnat,1833,1833,Pierre Emmanuel Damoye,Teacher
Leon Bonnat,1833,1833,Walter Gay,Teacher
Leon Bonnat,1833,1833,John Singer Sargent,Teacher
Leon Bonnat,1833,1833,Charles Sprague Pearce,Teacher
Luke Fildes,1844,1844,Vincent van Gogh,Influenced On
Mikhail Vrubel,1856,1856,Ilya Repin,Pupil
Mikhail Vrubel,1856,1856,Sir Lawrence Alma-Tadema,Influenced By
Mikhail Vrubel,1856,1856,Giovanni Bellini,Influenced By
Mikhail Vrubel,1856,1856,Vsevolod Maksymovych,Influenced On
Mikhail Vrubel,1856,1856,Mykola Murashko,Friend
Mikhail Vrubel,1856,1856,Valentin Serov,Friend
Mikhail Vrubel,1856,1856,Konstantin Korovin,Friend
Nikolai Ge,1831,1831,Mykola Murashko,Friend
Nikolaos Gyzis,1842,1842,Léo Schnug,Teacher
Pablo Picasso,1881,1881,Marc Chagall,Influenced By
Pablo Picasso,1881,1881,Henri Rousseau,Influenced By
