school_name,total_artists,avg_career_length,style_diversity
www.daguerreobase.org/en/type/d4b67834-6daf-819a-ffbd-a368166c4da8,1,80,1
scuola romana,1,80,1
arte nucleare,1,79,5
antipodeans,1,79,2
zhe school,1,79,1
p.120,1,77,1
no.1314,1,77,1
harper's weekly,1,77,1
february 25,1,77,1
1882,1,77,1
vol. xxvi,1,77,1
ancients,1,76,1
gruppe spur,1,76,1
papunya tula,1,76,1
les plasticiens,1,76,1
los hartos (the fed-ups),1,75,6
cádiz school,1,75,2
mosan school,1,75,1
tosa school,1,74,1
cretan school,1,73,1
kyivan cave monastery icon painting studio,1,73,1
bijutsu bunka kyokai,1,73,1
gruppo t,1,71,4
l'homme témoin,1,71,2
seoul national university. seoul,1,71,1
usa. m.f.a.,1,71,1
korea. b.f.a.indiana university,1,71,1
tachtigers (the eightiers),1,70,6
raph (russian association of proletarian artists),1,70,4
clique,1,69,2
brotherhood of ruralists,1,69,1
pennsylvania impressionism,1,68,1
swabian school,1,68,1
geometry of fear,1,68,1
osogbo school,1,67,1
sigma group,1,66,6
larense school,1,66,1
boston school,1,65,3
political pop,1,65,2
ma-xia school,1,65,2
picturesque sanctuary,1,65,1
transcarpathian school of painting,1,64,3
bornholm school,1,64,1
milanese school,1,64,1
genoese school,1,63,3
bande noir (les nubians),1,62,3
upper rhine school,1,61,2
mülheimer freiheit,1,61,1
piacenza school,1,61,1
gruppo n,1,61,1
four fathers of chinese painting,1,60,1
düsseldorf school of photography,1,60,1
the factory,1,59,4
danube school,1,58,2
école de nancy,1,58,1
gödöllő art colony,1,57,3
groupe ecart,1,56,5
kraków school,1,55,2
jung jidysz,1,54,2
kitagawa school,1,52,1
unovis (уновис) (the champions of the new art),1,51,6
beaver hall group,1,51,1
triangle,1,49,6
catalan school of tapestry,1,49,2
nuovi-nuovi,1,46,3
zebra group,1,44,1
www.daguerreobase.org/en/type/fa4846c0-aeae-03fb-ee3b-8a3605d10baf,1,40,1
kraków society of friends of fine arts (tpsp),1,38,5
leiden school,1,38,3
madrid school,1,38,2
ewha woman's university,1,26,1
painting.,1,26,1
seoul,1,26,1
sicyonian school,1,-64,1
heptanese (ionian) school,1,-64,1
denmark,1,-109,1
det nationale fotomuseum,1,-109,1
