Ha Chong-Hyun,1935,1935,Korean Informel
Luca di Tommé,1330,1330,Proto Renaissance
Teodor Harșia,1914,1914,Expressionism
Wen-Ying Tsai,1928,1928,Kinetic art
Erol Akyavaş,1932,1932,Surrealism
Lee Quinones,1960,1960,Street art
Pushpamala N,1956,1956,Feminist Art
Adolf Wölfli,1864,1864,Outsider art (Art brut)
Hans am Ende,1864,1864,Impressionism
Arthur Nísio,1906,1906,Social Realism
LeRoy Neiman,1921,1921,Neo-Expressionism
Chu Teh-Chun,1920,1920,Abstract Art
Kmetty János,1889,1889,Cubism
Josef Capek,1887,1887,Expressionism
Ayse Erkmen,1949,1949,Conceptual Art
Park Seo-Bo,1931,1931,Korean Informel
Carl Holsøe,1863,1863,Expressionism
Boris Bućan,1947,1947,Op Art
Tony DeLap,1927,1927,Op Art
Zao Wou-Ki,1920,1920,Art Informel
Léo Schnug,1878,1878,Art Nouveau
Jay DeFeo,1929,1929,Abstract Expressionism
SM Sultan,1923,1923,Social Realism
Marevna (Marie Vorobieff),1892,1892,Cubism
Martín Rico y Ortega,1833,1833,Impressionism
J. C. Leyendecker,1874,1874,Art Nouveau
Elsa von Freytag-Loringhoven,1874,1874,Dada
Zdzislaw Beksinski,1929,1929,Magic Realism
Giuseppe Mazzolini,1806,1806,Academic Art
Luis de Madrazo y Kuntz,1825,1825,Romanticism
Guilherme de Santa-Rita,1889,1889,Futurism
William Russell Flint,1880,1880,Romanticism
Jean Lecomte du Nouÿ,1842,1842,Romanticism
Adolf Hirémy-Hirschl,1860,1860,Symbolism
Eduard von Grützner,1846,1846,Romanticism
Adam van der Meulen,1632,1632,Baroque
M. H. Maxy,1895,1895,Cubism
Vahram Gayfedjian,1879,1879,Post-Impressionism
Grégoire Michonze,1902,1902,Surrealism
Bart van der Leck,1876,1876,Abstract Art
Michael Bell,1936,1936,Surrealism
JCJ Vanderheyden,1928,1928,Post-Painterly Abstraction
Antonio Povedano,1918,1918,Neo-Figurative Art
Arthur Pan,1894,1894,Classical Realism
A.Y. Jackson,1882,1882,Art Nouveau
Chang Dai-chien,1899,1899,Impressionism
Félix Del Marle,1889,1889,Abstract Art
Roger Bissière,1886,1886,Tachisme
Jacques Hérold,1910,1910,Surrealism
M.C. Escher,1898,1898,Surrealism
Hong Song-dam,1955,1955,Social Realism
Mestre Ataíde,1762,1762,Baroque
Li Yuan-chia,1929,1929,Abstract Art
José Luzán,1710,1710,Baroque
António de Carvalho da Silva Porto,1850,1850,Realism
Jean-Joseph-Xavier Bidauld,1758,1758,Neoclassicism
Pieter Saenredam,1597,1597,Baroque
Shin Yoon-bok,1758,1758,Joseon Dynasty
Jindrich Styrsky,1899,1899,Surrealism
George Philip Reinagle,1802,1802,Romanticism
Ralph Blakelock,1847,1847,Romanticism
Frances Macdonald,1873,1873,Arts and Crafts
Pellizza da Volpedo,1868,1868,Neo-Impressionism
Raimundo de Madrazo,1841,1841,Academic Art
Elenore Abbott,1875,1875,Romanticism
C. R. W. Nevinson,1889,1889,Cubism
Il Sassetta (Stefano di Giovanni),1374,1374,Early Renaissance
Rafael García Hispaleto (El Hispaleto),1833,1833,Romanticism
Alexei Korzukhin,1835,1835,Realism
Charles-Andre van Loo (Carle van Loo),1705,1705,Rococo
Lubo Kristek,1943,1943,Surrealism
Ding Yi,1750,1750,Maximalism
Phase 2,1955,1955,Street art
TRACY 168,1958,1958,Street art
Ad Reinhardt,1913,1913,Abstract Expressionism
Adnan Coker,1927,1927,Abstract Art
Akkitham Narayanan,1939,1939,Abstract Art
Alberto Magnelli,1888,1888,Abstract Art
Alekos Kontopoulos,1904,1904,Social Realism
Alexander Calder,1898,1898,Kinetic art
Alexander Rodchenko,1891,1891,Avant-garde
Alexej von Jawlensky,1864,1864,Expressionism
Alla Horska,1929,1929,Socialist Realism
Alphonse Allais,1854,1854,Incoherents
Amadeo de Souza-Cardoso,1887,1887,Expressionism
Andrzej Nowacki,1953,1953,Abstract Art
Anni Albers,1899,1899,Constructivism
Anthony Caro,1924,1924,New Generation Sculpture
Arthur Beecher Carles,1882,1882,Post-Impressionism
Arthur Dove,1880,1880,Abstract Art
Arthur Segal,1875,1875,Expressionism
Auguste Herbin,1882,1882,Post-Impressionism
Balcomb Greene,1904,1904,Abstract Art
Beauford Delaney,1901,1901,Modernism
Ben Nicholson,1894,1894,Cubism
Bice Lazzari,1900,1900,Art Informel
Bruno Cassinari,1912,1912,Expressionism
Charles Alston,1685,1685,Harlem Renaissance (New Negro Movement)
Clyfford Still,1904,1904,Abstract Art
Constantin Blendea,1929,1929,Abstract Art
Constantin Brâncuși,1876,1876,Expressionism
Constantin Flondor,1936,1936,Abstract Art
David Bomberg,1890,1890,Cubism
David Burliuk,1882,1882,Avant-garde
David Kakabadze,1889,1889,Realism
