artist_name,birth_year,birth_year_key,school_name,time_period
John Ferren,1905,1905,american abstract artists,
John Marin,1870,1870,stieglitz group,
Josef Albers,1888,1888,bauhaus,
Josef Sima,1891,1891,devětsil,
Josef Sima,1891,1891,czech surrealist,
Lawren Harris,1885,1885,group of seven,
Lee Krasner,1908,1908,american abstract artists,
Louis Schanker,1903,1903,new york school,
Louis Schanker,1903,1903,american abstract artists,
Lyubov Popova,1925,1925,supremus,
Man Ray,1890,1890,société anonyme,
Man Ray,1890,1890,école de paris,
Mark Rothko,1903,1903,irascibles,
Mark Rothko,1903,1903,new york school,
Marsden Hartley,1877,1877,stieglitz group,
Mathias Goeritz,1915,1915,los hartos (the fed-ups),
Michel Seuphor,1901,1901,cercle et carré,
Natalia Goncharova,1881,1881,donkey's tail (osliniy khvost),
Natalia Goncharova,1881,1881,der blaue reiter (the blue rider),
Natalia Goncharova,1881,1881,jack of diamonds,
Ossip Zadkine,1888,1888,école de paris,
Otto Freundlich,1878,1878,abstraction-création,
Otto Freundlich,1878,1878,degenerate art,
Paul Klee,1879,1879,bauhaus,
Paul Klee,1879,1879,der blaue reiter (the blue rider),
Paul Klee,1879,1879,degenerate art,
Perle Fine,1905,1905,new york school,
Pierre Daura,1896,1896,cercle et carré,
Rudolf Bauer,1889,1889,der sturm,
Rudolf Bauer,1889,1889,degenerate art,
Sonia Delaunay,1885,1885,école de paris,
Theo van Doesburg,1883,1883,abstraction-création,
Theo van Doesburg,1883,1883,cercle et carré,
Theodore Roszak,1907,1907,new york school,
Tiberiy Szilvashi,1947,1947,new wave,
Tiberiy Szilvashi,1947,1947,picturesque sanctuary,
Toyen,1902,1902,devětsil,
Vanessa Bell,1879,1879,bloomsbury group,
Victor Pasmore,1908,1908,euston road school,
Victor Pasmore,1908,1908,objective abstractionists,
Victor Servranckx,1897,1897,abstraction-création,
Wassily Kandinsky,1866,1866,der blaue reiter (the blue rider),
Wassily Kandinsky,1866,1866,der sturm,
Wassily Kandinsky,1866,1866,bauhaus,
Wassily Kandinsky,1866,1866,blue rose,
Wassily Kandinsky,1866,1866,degenerate art,
Willi Baumeister,1889,1889,zen 49,
Willi Baumeister,1889,1889,abstraction-création,
Willi Baumeister,1889,1889,cercle et carré,
Willi Baumeister,1889,1889,degenerate art,
Wolfgang Paalen,1905,1905,abstraction-création,
Yiannis Moralis,1916,1916,armos,
Yiannis Moralis,1916,1916,generation of the thirties,
Adja Yunkers,1900,1900,new york school,
Allan Kaprow,1927,1927,fluxus,
Andy Warhol,1928,1928,the factory,
Anne Ryan,1889,1889,new york school,
Antonio Corpora,1909,1909,gruppo degli otto,
Atsuko Tanaka,1932,1932,gutai group,
Barnett Newman,1905,1905,irascibles,
Barnett Newman,1905,1905,new york school,
Bradley Walker Tomlin,1899,1899,irascibles,
Bradley Walker Tomlin,1899,1899,new york school,
Cy Twombly,1928,1928,new york school,
David Hare,1917,1917,new york school,
Edward Corbett,1817,1817,san francisco school,
Elaine de Kooning,1918,1918,new york school,
Elmer Bischoff,1916,1916,bay area figurative school,
Esteban Vicente,1903,1903,new york school,
Frank Lobdell,1921,1921,san francisco school,
Frederic Matys Thursz,1930,1930,radical painting group,
Frederick Hammersley,1919,1919,four abstract classicists,
Gandy Brodie,1924,1924,new york school,
Gene Davis,1920,1920,washington color school,
Giorgio Cavallon,1904,1904,new york school,
Giorgio Cavallon,1904,1904,american abstract artists,
Guido Molinari,1933,1933,nouveaux plasticiens,
Hans Hofmann,1933,1933,new york school,
Hassel Smith,1915,1915,san francisco school,
Hedda Sterne,1910,1910,irascibles,
Hedda Sterne,1910,1910,new york school,
Helen Frankenthaler,1928,1928,new york school,
Horia Bernea,1938,1938,9+1,
Horia Bernea,1938,1938,prolog group,
Howard Mehring,1931,1931,washington color school,
Jack Tworkov,1900,1900,new york school,
Jackson Pollock,1912,1912,irascibles,
Jackson Pollock,1912,1912,new york school,
Jimmy Ernst,1920,1920,new york school,
Jock Macdonald,1897,1897,painters eleven (p11),
Jose Guerrero,1914,1914,new york school,
Julio Pomar,1926,1926,independents (oporto artist group),
Kazuo Nakamura,1906,1906,painters eleven (p11),
Kazuo Shiraga,1924,1924,gutai group,
Lee Bontecou,1931,1931,new york school,
Leo Valledor,1936,1936,park place,
Manuel Neri,1930,1930,bay area figurative school,
Marcel Barbeau,1925,1925,les automatistes,
Marcia Hafif,1929,1929,radical painting group,
Mark Tobey,1890,1890,northwest school,
Mark di Suvero,1933,1933,park place,
Morris Graves,1910,1910,northwest school,
Morris Louis,1912,1912,washington color school,
Nicolas Carone,1917,1917,new york school,
Norman Bluhm,1921,1921,new york school,
Oswaldo Vigas,1926,1926,cobra,
Oswaldo Vigas,1926,1926,école de paris,
Oyvind Fahlstrom,1928,1928,fluxus,
Paul Jenkins,1923,1923,new york school,
Paul Reed,1919,1919,washington color school,
Paul Wonner,1920,1920,bay area figurative school,
Philip Guston,1913,1913,new york school,
Pol Bury,1922,1922,jeune peinture belge,
Pol Bury,1922,1922,cobra,
Raoul Ubac,1910,1910,cobra,
Richard Diebenkorn,1922,1922,bay area figurative school,
Robert Goodnough,1917,1917,new york school,
Robert Rauschenberg,1925,1925,new york school,
Sam Gilliam,1933,1933,washington color school,
Sherrie Levine,1947,1947,pictures generation,
Taro Yamamoto,1974,1974,new york school,
Terry Frost,1915,1915,st ives school,
Theodoros Stamos,1922,1922,irascibles,
Theodoros Stamos,1922,1922,new york school,
Tsuruko Yamazaki,1925,1925,gutai group,
Ulfert Wilke,1907,1907,new york school,
Walasse Ting,1929,1929,cobra,
William Baziotes,1912,1912,irascibles,
William Baziotes,1912,1912,new york school,
Frederick McCubbin,1855,1855,heidelberg school,
Fyodor Bronnikov,1827,1827,peredvizhniki (society for traveling art exhibitions),
Konstantin Bogaevsky,1872,1872,union of russian artists,
Konstantin Bogaevsky,1872,1872,cimmerian art school,
Konstantin Bogaevsky,1872,1872,mir iskusstva (world of art),
Konstantin Makovsky,1839,1839,peredvizhniki (society for traveling art exhibitions),
Mihaly Munkacsy,1844,1844,düsseldorf school of painting,
Mikhail Vrubel,1856,1856,mir iskusstva (world of art),
Nikola Martinoski,1903,1903,école de paris,
Nikolaos Gyzis,1842,1842,munich school (σχολή του μονάχου),
Pablo Picasso,1881,1881,école de paris,
Vasily Surikov,1848,1848,peredvizhniki (society for traveling art exhibitions),
Wojciech Weiss,1875,1875,vienna secession,
Arnulf Rainer,1929,1929,vienna school of fantastic realism,
Franz Kline,1910,1910,new york school,
Albert Gleizes,1881,1881,section d'or (puteaux group),
Albert Gleizes,1881,1881,abstraction-création,
Albert Gleizes,1881,1881,société des artistes indépendants (society of independent artists),
Georges Braque,1882,1882,les fauves,
Georges Braque,1882,1882,école de paris,
Jean Metzinger,1883,1883,section d'or (puteaux group),
Juan Gris,1887,1887,école de paris,
Pavel Filonov,1883,1883,soyuz molodyozhi (union of the youth),
Jean Dubuffet,1901,1901,école de paris,
Aleksandra Ekster,1882,1882,soyuz molodyozhi (union of the youth),
Aleksandra Ekster,1882,1882,supremus,
Aleksandra Ekster,1882,1882,société des artistes indépendants (society of independent artists),
Aleksandra Ekster,1882,1882,jack of diamonds,
David Alfaro Siqueiros,1896,1896,mexican mural renaissance,
Diego Rivera,1886,1886,mexican mural renaissance,
Diego Rivera,1886,1886,la ruche,
Zinaida Serebriakova,1884,1884,mir iskusstva (world of art),
Adrien Dax,1913,1913,phases,
Afro,1912,1912,gruppo degli otto,
Akira Kanayama,1924,1924,gutai group,
Alberto Burri,1915,1915,gruppo origine,
Alfred Manessier,1911,1911,école de paris,
Andre Lanskoy,1902,1902,école de paris,
Antoni Tapies,1923,1923,el paso,
Antoni Tapies,1923,1923,dau al set,
Antonio Sanfilippo,1923,1923,forma 1,
Asger Jorn,1914,1914,phases,
Asger Jorn,1914,1914,cobra,
Bernard Schultze,1915,1915,quadriga group,
Carl Buchheister,1890,1890,bauhaus,
Carla Accardi,1924,1924,forma 1,
Claude Georges,1929,1929,phases,
Claude Georges,1929,1929,école de paris,
Corneille,1642,1642,cobra,
Daniel Dezeuze,1942,1942,supports/surfaces,
Enrico Baj,1924,1924,arte nucleare,
Enrico Baj,1924,1924,cobra,
Enrico Castellani,1930,1930,zero,
Ernst Wilhelm Nay,1902,1902,zen 49,
Eugene Brands,1913,1913,cobra,
Eugene Leroy,1910,1910,école de paris,
Francis Bott,1904,1904,école de paris,
Francois Arnal,1924,1924,cobra,
Francois Arnal,1924,1924,école de paris,
Fritz Winter,1905,1905,zen 49,
Fritz Winter,1905,1905,degenerate art,
Giulio Turcato,1912,1912,forma 1,
Giulio Turcato,1912,1912,continuità,
Giulio Turcato,1912,1912,gruppo degli otto,
Giuseppe Santomaso,1907,1907,gruppo degli otto,
Greta Freist,1904,1904,école de paris,
Helmut Sturm,1932,1932,gruppe spur,
Herbert Zangs,1924,1924,zero,
Huguette Arthur Bertrand,1922,1922,école de paris,
Ivan Serpa,1923,1923,frente,
Jacques Busse,1922,1922,école de paris,
Jean Le Moal,1909,1909,école de paris,
Jean Messagier,1920,1920,école de paris,
Jean Rene Bazaine,1904,1904,école de paris,
Jiro Yoshihara,1905,1905,gutai group,
Joan Ponc,1927,1927,dau al set,
Karel Appel,1921,1921,cobra,
Karl Otto Gotz,1914,1914,quadriga group,
Karl Otto Gotz,1914,1914,cobra,
Luciano Bartolini,1948,1948,nuovi-nuovi,
Luis Feito,1929,1929,el paso,
Mario Ballocco,1913,1913,gruppo origine,
Mario Prassinos,1916,1916,école de paris,
Matsutani,,-999999,gutai group,
Maurice Esteve,1904,1904,école de paris,
Modest Cuixart,1925,1925,dau al set,
Natalia Dumitresco,1915,1915,école de paris,
Paritosh Sen,1918,1918,calcutta group,
Rene Duvillier,1919,1919,école de paris,
Sadamasa Motonaga,1922,1922,gutai group,
Shozo Shimamoto,,-999999,gutai group,
Alexandre Benois,1870,1870,mir iskusstva (world of art),
Andrei Ryabushkin,1861,1861,peredvizhniki (society for traveling art exhibitions),
Anne Brigman,1869,1869,photo-secession,
Boris Kustodiev,1878,1878,union of russian artists,
Boris Kustodiev,1878,1878,akhrr (association of artists of revolutionary russia),
Boris Kustodiev,1878,1878,mir iskusstva (world of art),
Charles Rennie Mackintosh,1868,1868,glasgow school,
Cuno Amiet,1868,1868,les nabis,
Cuno Amiet,1868,1868,vienna secession,
Cuno Amiet,1868,1868,pont-aven school,
Egon Schiele,1890,1890,vienna secession,
Emile Galle,1846,1846,école de nancy,
Emily Carr,1871,1871,st ives school,
Emily Carr,1871,1871,group of seven,
Emily Carr,1871,1871,canadian group of painters,
Fedir Krychevsky,1879,1879,akhku (association of artists of red ukraine),
Felix Vallotton,1865,1865,les nabis,
Fernand Khnopff,1858,1858,les xx,
Fernand Khnopff,1858,1858,vienna secession,
Filipp Malyavin,1869,1869,peredvizhniki (society for traveling art exhibitions),
Frank Cadogan Cowper,1877,1877,pre-raphaelite brotherhood,
Frank Johnston,1929,1929,group of seven,
Franklin Carmichael,1890,1890,group of seven,
Franz Stuck,1863,1863,munich secession,
Frederick Carl Frieseke,1874,1874,giverny art colony,
Georges Lemmen,1865,1865,les xx,
Gustav Klimt,1862,1862,vienna secession,
Heorhiy Narbut,1886,1886,mir iskusstva (world of art),
Ivan Bilibin,1876,1876,mir iskusstva (world of art),
Jacek Malczewski,1854,1854,society of polish artists 'sztuka',
Jan Toorop,1858,1858,tachtigers (the eightiers),
Jury Annenkov,1889,1889,ost (society of easel painters),
Jury Annenkov,1889,1889,mir iskusstva (world of art),
Józef Mehoffer,1869,1869,vienna secession,
Józef Mehoffer,1869,1869,society of polish artists 'sztuka',
Kazimir Malevich,1879,1879,donkey's tail (osliniy khvost),
Kazimir Malevich,1879,1879,soyuz molodyozhi (union of the youth),
Kazimir Malevich,1879,1879,jack of diamonds,
Koloman Moser,1868,1868,vienna secession,
Konstantin Korovin,1861,1861,mir iskusstva (world of art),
Konstantin Somov,1869,1869,mir iskusstva (world of art),
Konstantin Yuon,1875,1875,union of russian artists,
Konstantin Yuon,1875,1875,akhrr (association of artists of revolutionary russia),
Konstantin Yuon,1875,1875,mir iskusstva (world of art),
Konstantinos Parthenis,1878,1878,art (τέχνη),
Leon Bakst,1866,1866,mir iskusstva (world of art),
Leon Wyczółkowski,1852,1852,society of polish artists 'sztuka',
Margaret Macdonald,1864,1864,glasgow school,
Martiros Sarian,1880,1880,blue rose,
Martiros Sarian,1880,1880,four arts,
Martiros Sarian,1880,1880,mir iskusstva (world of art),
Max Kurzweil,1867,1867,vienna secession,
Max Slevogt,1868,1868,berlin secession,
Mikhail Nesterov,1862,1862,union of russian artists,
Mikhail Nesterov,1862,1862,peredvizhniki (society for traveling art exhibitions),
Mikhail Nesterov,1862,1862,mir iskusstva (world of art),
Mstislav Dobuzhinsky,1875,1875,mir iskusstva (world of art),
Nicholas Roerich,1874,1874,mir iskusstva (world of art),
Odilon Redon,1840,1840,société des artistes indépendants (society of independent artists),
Pyotr Konchalovsky,1876,1876,akhrr (association of artists of revolutionary russia),
Pyotr Konchalovsky,1876,1876,soyuz molodyozhi (union of the youth),
Pyotr Konchalovsky,1876,1876,mir iskusstva (world of art),
Pyotr Konchalovsky,1876,1876,jack of diamonds,
Richard Gerstl,1883,1883,vienna secession,
Serge Sudeikin,1882,1882,union of russian artists,
Serge Sudeikin,1882,1882,blue rose,
Serge Sudeikin,1882,1882,mir iskusstva (world of art),
Stanisław Wyspiański,1869,1869,society of polish artists 'sztuka',
Stanisław Wyspiański,1869,1869,kraków society of friends of fine arts (tpsp),
Valentin Serov,1865,1865,peredvizhniki (society for traveling art exhibitions),
Vasily Polenov,1844,1844,peredvizhniki (society for traveling art exhibitions),
Wilhelm Trübner,1851,1851,berlin secession,
Andre Masson,1896,1896,degenerate art,
Dolfi Trost,1930,1930,s,
Paul Paun,,-999999,s,
Adam van Noort,1562,1562,antwerp school,
Adriaen Brouwer,1605,1605,flemish school,
Adriaen Brouwer,1605,1605,antwerp school,
Adriaen van Ostade,1610,1610,haarlem school,
Adriaen van Ostade,1610,1610,dutch school,
Adriaen van de Velde,1636,1636,haarlem school,
Adriaen van de Velde,1636,1636,dutch school,
Aelbert Cuyp,1620,1620,dutch school,
Albert Bierstadt,1830,1830,hudson river school,
Annibale Carracci,1560,1560,bolognese school,
Anthony van Dyck,1599,1599,flemish school,
Anthony van Dyck,1599,1599,antwerp school,
Artemisia Gentileschi,1596,1596,caravaggisti,
Artemisia Gentileschi,1596,1596,florentine school,
Bernardo Strozzi,1581,1581,caravaggisti,
Bernardo Strozzi,1581,1581,genoese school,
Canaletto,1722,1722,venetian school,
Carel Fabritius,1622,1622,delft school,
