artist_name,birth_year,birth_year_key,school_name,time_period
Henri Le Fauconnier,1881,1881,section d'or (puteaux group),
Jacques Lipchitz,1891,1891,la ruche,
Jacques Lipchitz,1891,1891,école de paris,
Jacques Lipchitz,1891,1891,degenerate art,
Jankel Adler,1895,1895,jung jidysz,
Jules Pascin,1885,1885,école de paris,
Lajos Tihanyi,1885,1885,eight,
Lajos Tihanyi,1885,1885,école de paris,
Louis Marcoussis,1878,1878,section d'or (puteaux group),
Louis Marcoussis,1878,1878,école de paris,
Lyonel Feininger,1871,1871,berlin secession,
Lyonel Feininger,1871,1871,die brücke (the bridge),
Lyonel Feininger,1871,1871,der blaue reiter (the blue rider),
Lyonel Feininger,1871,1871,degenerate art,
Mario Sironi,1885,1885,milan futurist group,
Mario Sironi,1885,1885,novecento italiano,
Maurice de Vlaminck,1876,1876,les fauves,
Max Beckmann,1884,1884,berlin secession,
Max Beckmann,1884,1884,degenerate art,
Max Ernst,1891,1891,degenerate art,
Max Jacob,1888,1888,la ruche,
Mikhail Larionov,1881,1881,donkey's tail (osliniy khvost),
Mikhail Larionov,1881,1881,jack of diamonds,
Nikolai Kulbin,1868,1868,triangle,
Nikolai Kulbin,1868,1868,soyuz molodyozhi (union of the youth),
Olexandr Archipenko,1887,1887,la ruche,
Olexandr Archipenko,1887,1887,école de paris,
Olga Rozanova,1886,1886,supremus,
Olga Rozanova,1886,1886,soyuz molodyozhi (union of the youth),
Paul Ackerman,1908,1908,école de paris,
Piet Mondrian,1872,1872,degenerate art,
Raoul Dufy,1877,1877,les fauves,
Robert Falk,1886,1886,jack of diamonds,
Roger de La Fresnaye,1885,1885,section d'or (puteaux group),
Tarsila do Amaral,1886,1886,grupo dos cinco,
Umberto Boccioni,1882,1882,milan futurist group,
Umberto Boccioni,1882,1882,lacerba,
Vasyl Sedlyar,1899,1899,executed renaissance,
Vasyl Sedlyar,1899,1899,boychukists,
Wyndham Lewis,1882,1882,camden town group,
Oleksandr Bogomazov,1880,1880,armu (association of revolutionary masters of ukraine),
Oleksandr Bogomazov,1880,1880,zveno (link),
Kurt Schwitters,1887,1887,abstraction-création,
Kurt Schwitters,1887,1887,degenerate art,
Francisc Sirato,1877,1877,balchik school,
Francisc Sirato,1877,1877,grupul celor patru (group of four),
Gherasim Luca,1913,1913,s,
Andrea Mantegna,1431,1431,venetian school,
Andrea del Castagno,1420,1420,florentine school,
Andrea del Verrocchio,1435,1435,florentine school,
Antonello da Messina,1430,1430,venetian school,
Benozzo Gozzoli,1420,1420,florentine school,
Carlo Crivelli,1430,1430,venetian school,
Domenico Ghirlandaio,1448,1448,florentine school,
Domenico Veneziano,1410,1410,florentine school,
Donatello,1386,1386,florentine school,
Filippo Brunelleschi,1377,1377,florentine school,
Filippo Lippi,1406,1406,florentine school,
Fra Angelico,1390,1390,florentine school,
Francesco del Cossa,1435,1435,ferrara school,
Giovanni Bellini,1430,1430,venetian school,
Jacopo Bellini,1400,1400,venetian school,
Luca Signorelli,1450,1450,tuscan school,
Masaccio,1401,1401,florentine school,
Pietro Perugino,1448,1448,umbrian school,
Pinturicchio,1974,1974,umbrian school,
Sandro Botticelli,1445,1445,florentine school,
Nobuo Sekine,1942,1942,mono-ha,
Francis Bacon,1909,1909,school of london,
Frank Auerbach,1931,1931,school of london,
Albert Bloch,1882,1882,der blaue reiter (the blue rider),
Albert Tucker,1914,1914,heide circle,
Albert Tucker,1914,1914,angry penguins,
Alberto Giacometti,1901,1901,école de paris,
Alexandre Jacovleff,1887,1887,mir iskusstva (world of art),
Amedeo Modigliani,1884,1884,la ruche,
Amedeo Modigliani,1884,1884,école de paris,
Antonietta Raphael,1895,1895,scuola romana,
Armand Henrion,1875,1875,école de paris,
August Macke,1887,1887,der sturm,
August Macke,1887,1887,der blaue reiter (the blue rider),
Balthus,1908,1908,école de paris,
Bela Czobel,1883,1883,eight,
Bela Czobel,1883,1883,école de paris,
Bela Czobel,1883,1883,nagybánya artists colony (baia mare school),
Bernard Buffet,1928,1928,l'homme témoin,
Chaim Soutine,1893,1893,la ruche,
Chaim Soutine,1893,1893,école de paris,
Charles Cottet,1863,1863,bande noir (les nubians),
Charles Demuth,1883,1883,stieglitz group,
Christian Rohlfs,1849,1849,degenerate art,
Edvard Munch,1863,1863,berlin secession,
Edvard Munch,1863,1863,degenerate art,
Edwin Dickinson,1891,1891,new york school,
Emil Nolde,1867,1867,berlin secession,
Emil Nolde,1867,1867,die brücke (the bridge),
Emil Nolde,1867,1867,der blaue reiter (the blue rider),
Emil Nolde,1867,1867,degenerate art,
George Bouzianis,1885,1885,the generation of the thirties,
Georges Rouault,1871,1871,les fauves,
Hans Bellmer,1902,1902,degenerate art,
Istvan Farkas,1887,1887,école de paris,
Istvan Ilosvai Varga,1895,1895,szentendre school,
James Ensor,1860,1860,les xx,
James Ensor,1860,1860,jeune peinture belge,
Jan Cox,1919,1919,cobra,
Jan Cox,1919,1919,jeune peinture belge,
John Brack,1920,1920,antipodeans,
Jose Clemente Orozco,1883,1883,mexican mural renaissance,
Kathe Kollwitz,1867,1867,berlin secession,
Louisa Matthiasdottir,1917,1917,new york school,
Lovis Corinth,1858,1858,berlin secession,
Margareta Sterian,1897,1897,balchik school,
Marie Laurencin,1883,1883,section d'or (puteaux group),
Marin Gherasim,1937,1937,9+1,
Max Pechstein,1881,1881,berlin secession,
Max Pechstein,1881,1881,die brücke (the bridge),
Max Pechstein,1881,1881,la ruche,
Max Pechstein,1881,1881,degenerate art,
Michel Kikoine,1892,1892,la ruche,
Michel Kikoine,1892,1892,école de paris,
Moise Kisling,1891,1891,la ruche,
Moise Kisling,1891,1891,école de paris,
Mykhailo Boychuk,1882,1882,executed renaissance,
Mykhailo Boychuk,1882,1882,armu (association of revolutionary masters of ukraine),
Mykhailo Boychuk,1882,1882,boychukists,
Nicolae Tonitza,1886,1886,balchik school,
Nicolae Tonitza,1886,1886,grupul celor patru (group of four),
Nikolaos Lytras,1883,1883,art (τέχνη),
Oskar Kokoschka,1886,1886,dresden secession,
Oskar Kokoschka,1886,1886,der sturm,
Oskar Kokoschka,1886,1886,vienna secession,
Oskar Kokoschka,1886,1886,degenerate art,
Otto Mueller,1874,1874,die brücke (the bridge),
Otto Mueller,1874,1874,degenerate art,
Ottone Rosai,1895,1895,lacerba,
Paula Rego,1935,1935,london group,
Periklis Vyzantios,1893,1893,art (τέχνη),
Pierre Alechinsky,1927,1927,phases,
Pierre Alechinsky,1927,1927,jeune peinture belge,
Pierre Alechinsky,1927,1927,cobra,
Pinchus Kremegne,1890,1890,la ruche,
Pinchus Kremegne,1890,1890,école de paris,
Prudence Heward,1896,1896,beaver hall group,
Prudence Heward,1896,1896,canadian group of painters,
Spyros Papaloukas,1892,1892,art (τέχνη),
Spyros Papaloukas,1892,1892,the generation of the thirties,
Theophrastos Triantafyllidis,1881,1881,art (τέχνη),
Theophrastos Triantafyllidis,1881,1881,generation of the thirties,
Tsuguharu Foujita,1886,1886,école de paris,
Varlin,1900,1900,école de paris,
Ernst Fuchs,1930,1930,vienna school of fantastic realism,
Albert Marquet,1875,1875,les fauves,
Ilya Mashkov,1881,1881,jack of diamonds,
John Duncan Fergusson,1874,1874,scottish colourists,
Louis Valtat,1869,1869,les fauves,
Othon Friesz,1879,1879,les fauves,
Cindy Sherman,1954,1954,pictures generation,
Carles Delclaux Is,1818,1818,catalan school of tapestry,
Joseph Stella,1877,1877,stieglitz group,
Victor Palmov,1888,1888,lef (left front of the arts),
Victor Palmov,1888,1888,armu (association of revolutionary masters of ukraine),
Ward Jackson,1929,1929,american abstract artists,
Andrea Solario,1460,1460,milanese school,
Andrea del Sarto,1486,1486,florentine school,
Cima da Conegliano,1459,1459,venetian school,
Correggio,1489,1489,parma school,
Dosso Dossi,1480,1480,ferrara school,
Fra Bartolomeo,1472,1472,florentine school,
Giorgione,1470,1470,venetian school,
Giovanni Antonio Boltraffio,1466,1466,lombard school,
Il Sodoma,1477,1477,sienese school,
Lorenzo Lotto,1480,1480,venetian school,
Mariotto Albertinelli,1474,1474,florentine school,
Michelangelo,1994,1994,florentine school,
Raphael,1483,1483,umbrian school,
Titian,1490,1490,venetian school,
Vittore Carpaccio,1465,1465,venetian school,
Adalbert Erdeli,1891,1891,transcarpathian school of painting,
Adam Baltatu,1889,1889,balchik school,
Albert Julius Olsson,1864,1864,st ives school,
Algernon Talmage,1871,1871,st ives school,
Anna Ancher,1859,1859,skagen painters,
Antoine Blanchard,1910,1910,école de paris,
Aristide Maillol,1861,1861,les nabis,
Arthur Streeton,1867,1867,heidelberg school,
Benjamin Brown,1756,1756,california plein-air school (california impressionism),
Charles Conder,1868,1868,heidelberg school,
Childe Hassam,1859,1859,american barbizon school,
Childe Hassam,1859,1859,ten (ten american painters),
Childe Hassam,1859,1859,cos cob art colony,
Constantin Artachino,1870,1870,balchik school,
Cornelis Vreedenburgh,1880,1880,larense school,
David Davies,1871,1871,heidelberg school,
Edmund Charles Tarbell,1862,1862,ten (ten american painters),
Federico Zandomeneghi,1841,1841,macchiaioli,
Fern Coppedge,1883,1883,pennsylvania impressionism,
George Henry,1858,1858,glasgow school,
Georges Seurat,1859,1859,société des artistes indépendants (society of independent artists),
Georgios Jakobides,1853,1853,munich school (σχολή του μονάχου),
Giovanni Fattori,1825,1825,macchiaioli,
Guy Rose,1867,1867,california plein-air school (california impressionism),
Guy Rose,1867,1867,giverny art colony,
Henri Catargi,1894,1894,balchik school,
Henri Gervex,1852,1852,école de paris,
Henry Herbert La Thangue,1859,1859,newlyn school,
Homer Watson,1855,1855,american barbizon school,
Ilya Repin,1844,1844,peredvizhniki (society for traveling art exhibitions),
Ioannis Altamouras,1852,1852,munich school (σχολή του μονάχου),
Ion Andreescu,1850,1850,barbizon school,
Isaac Levitan,1860,1860,peredvizhniki (society for traveling art exhibitions),
Ivan Vladimirov,1869,1869,peredvizhniki (society for traveling art exhibitions),
Ivan Vladimirov,1869,1869,akhrr (association of artists of revolutionary russia),
Jean Alexandru Steriadi,1880,1880,balchik school,
John Henry Twachtman,1853,1853,cos cob art colony,
John Henry Twachtman,1853,1853,ten (ten american painters),
John Henry Twachtman,1853,1853,society of american artists,
Jules Dupre,1811,1811,barbizon school,
Julian Alden Weir,1852,1852,cos cob art colony,
Julian Alden Weir,1852,1852,ten (ten american painters),
Julian Ashton,1851,1851,heidelberg school,
Julian Fałat,1853,1853,society of polish artists 'sztuka',
Józef Pankiewicz,1866,1866,society of polish artists 'sztuka',
Karoly Ferenczy,1862,1862,nagybánya artists colony (baia mare school),
Konstantinos Maleas,1879,1879,art (τέχνη),
Konstantinos Volanakis,1837,1837,munich school (σχολή του μονάχου),
Laura Knight,1877,1877,newlyn school,
Lesser Ury,1861,1861,berlin secession,
Lesser Ury,1861,1861,düsseldorf school of painting,
Lesser Ury,1861,1861,munich secession,
Lucian Grigorescu,1894,1894,balchik school,
Maurice Prendergast,1858,1858,eight,
Max Liebermann,1847,1847,berlin secession,
Maxime Maufra,1861,1861,pont-aven school,
Medi Wechsler Dinu,1908,1908,balchik school,
Micaela Eleutheriade,1900,1900,balchik school,
Mildred Anne Butler,1858,1858,newlyn school,
Niccolo Cannicci,1846,1846,macchiaioli,
Nicolae Darascu,1883,1883,balchik school,
Nicolae Grigorescu,1838,1838,barbizon school,
Nutzi Acontz,1894,1894,balchik school,
Oleksandr Murashko,1875,1875,kyiv drawing school of murashko,
Panayiotis Tetsis,1925,1925,armos,
Paul Signac,1863,1863,société des artistes indépendants (society of independent artists),
Peder Severin Kroyer,1851,1851,skagen painters,
Pericles Pantazis,1849,1849,les xx,
Pierre Emmanuel Damoye,1847,1847,barbizon school,
Robert Lewis Reid,1862,1862,ten (ten american painters),
Samuel Mutzner,1884,1884,balchik school,
Sever Burada,1896,1896,balchik school,
Stefan Dimitrescu,1886,1886,balchik school,
Stefan Dimitrescu,1886,1886,grupul celor patru (group of four),
Stefan Popescu,1872,1872,balchik school,
Theodor Pallady,1871,1871,balchik school,
Tom Roberts,1856,1856,heidelberg school,
Vasile Popescu,1925,1925,balchik school,
Vilhelms Purvitis,1872,1872,mir iskusstva (world of art),
Walter Sickert,1860,1860,camden town group,
Willard Metcalf,1858,1858,ten (ten american painters),
William James Glackens,1870,1870,ashcan school,
William James Glackens,1870,1870,eight,
William Merritt Chase,1849,1849,ten (ten american painters),
William Merritt Chase,1849,1849,tile club,
William Merritt Chase,1849,1849,society of american artists,
Yeghishe Tadevosyan,1870,1870,peredvizhniki (society for traveling art exhibitions),
Yeghishe Tadevosyan,1870,1870,mir iskusstva (world of art),
Huang Shen,1687,1687,eight eccentrics of yangzhou,
Lan Ying,1585,1585,zhe school,
Ma Yuan,1160,1160,ma-xia school,
Shen Zhou,1427,1427,wu school,
Ambrogio Lorenzetti,1290,1290,sienese school,
Gentile da Fabriano,1370,1370,lombard school,
Melchior Broederlam,1355,1355,flemish school,
Pietro Lorenzetti,1280,1280,sienese school,
Simone Martini,1284,1284,sienese school,
Pierre Bonnard,1867,1867,les nabis,
Grazia Varisco,1937,1937,gruppo t,
Heinz Mack,1931,1931,zero,
Jean Tinguely,1925,1925,zero,
Jesus Rafael Soto,1923,1923,zero,
Nanda Vigo,1936,1936,zero,
Asher Brown Durand,1796,1796,hudson river school,
David Johnson,1930,1930,hudson river school,
Frederic Edwin Church,1826,1826,hudson river school,
John Frederick Kensett,1816,1816,hudson river school,
Martin Johnson Heade,1819,1819,hudson river school,
Genevieve Asse,1923,1923,école de paris,
Gustave Singier,1909,1909,école de paris,
Otto Piene,1928,1928,zero,
Tobias Verhaecht,1561,1561,antwerp school,
Yu Youhan,1943,1943,political pop,
Mario Tozzi,1895,1895,novecento italiano,
Gunter Umberg,,-999999,radical painting group,
Johannes Jan Schoonhoven,,-999999,zero,
Kishio Suga,1944,1944,mono-ha,
Kuno Gonschior,1935,1935,zero,
Lyman Kipp,1929,1929,park place,
Michel Parmentier,1938,1938,bmpt,
Niele Toroni,1937,1937,bmpt,
Phil Sims,1940,1940,radical painting group,
Robert Grosvenor,1910,1910,park place,
Roman Cotosman,1935,1935,111,
Johnny Warangkula Tjupurrula,1925,1925,papunya tula,
Aleksandr Deyneka,1899,1899,ost (society of easel painters),
Aleksandr Deyneka,1899,1899,oktyabr (october),
Aleksandr Deyneka,1899,1899,raph (russian association of proletarian artists),
Christopher Wood,1935,1935,seven and five society,
Christopher Wood,1935,1935,st ives school,
Christopher Wood,1935,1935,london group,
Alison Knowles,1933,1933,fluxus,
Daniel Spoerri,1930,1930,fluxus,
John Armleder,1948,1948,groupe ecart,
John Armleder,1948,1948,fluxus,
Nam June Paik,1932,1932,fluxus,
Anish Kapoor,1954,1954,new british sculpture,
David Park,1911,1911,bay area figurative school,
Georg Baselitz,1938,1938,neue wilde,
Graca Morais,,-999999,puzzle group,
Henry Villierme,1928,1928,bay area figurative school,
Jorg Immendorff,1945,1945,neue wilde,
Martin Disler,1949,1949,neue wilde,
Rainer Fetting,1949,1949,neue wilde,
Roland Petersen,1926,1926,bay area figurative school,
Charles Angrand,1854,1854,les xx,
Bill Woodrow,1948,1948,new british sculpture,
Graham Bell,1847,1847,euston road school,
Camille Corot,1796,1796,barbizon school,
Yannoulis Chalepas,1851,1851,munich school (σχολή του μονάχου),
Rosemarie Trockel,1952,1952,mülheimer freiheit,
Albrecht Altdorfer,1480,1480,danube school,
Albrecht Durer,1471,1471,german school,
Bernhard Strigel,1460,1460,swabian school,
Gerard David,1460,1460,bruges school,
Hans Baldung,1484,1484,upper rhine school,
Hans Memling,1435,1435,bruges school,
Hans Memling,1435,1435,flemish school,
Hieronymus Bosch,1450,1450,flemish school,
Hugo van der Goes,1440,1440,bruges school,
Hugo van der Goes,1440,1440,flemish school,
Jan Provoost,1465,1465,flemish school,
Jan van Eyck,1390,1390,flemish school,
Joachim Patinir,1480,1480,flemish school,
Joachim Patinir,1480,1480,antwerp school,
Mabuse,1478,1478,antwerp school,
Martin Schongauer,1450,1450,german school,
Matthias Grünewald,1455,1455,german school,
Petrus Christus,1410,1410,dutch school,
Quentin Matsys,1466,1466,antwerp school,
Robert Campin,1375,1375,flemish school,
Rogier van der Weyden,1390,1390,flemish school,
Alberto Biasi,1937,1937,gruppo n,
Almir Mavignier,1925,1925,zero,
Francois Rouan,1943,1943,supports/surfaces,
Luis Tomasello,1915,1915,asociación arte nuevo,
Tadasky,1935,1935,gutai group,
Walter Leblanc,1932,1932,zero,
John William Waterhouse,1849,1849,pre-raphaelite brotherhood,
William Holman Hunt,1827,1827,pre-raphaelite brotherhood,
Alfred Stieglitz,1864,1864,photo-secession,
Alfred Stieglitz,1864,1864,stieglitz group,
George Seeley,1880,1880,stieglitz group,
Dieter Asmus,1939,1939,zebra group,
Peter Blake,1932,1932,brotherhood of ruralists,
Richard Hamilton,1922,1922,independent group,
Agnes Lawrence Pelton,1881,1881,transcendental painting group,
Augustus John,1878,1878,camden town group,
Dumitru Ghiatza,1888,1888,balchik school,
Edvard Weie,1879,1879,bornholm school,
Gustave Loiseau,1865,1865,pont-aven school,
Maurice Denis,1870,1870,les nabis,
Maurice Utrillo,1883,1883,école de paris,
Roger Fry,1866,1866,bloomsbury group,
Samuel Peploe,1871,1871,scottish colourists,
Sedrak Arakelyan,1884,1884,akhrr (association of artists of revolutionary russia),
Suzanne Valadon,1865,1865,école de paris,
Alison Wilding,1948,1948,new british sculpture,
Antony Gormley,1950,1950,new british sculpture,
Richard Deacon,1949,1949,new british sculpture,
Richard Van Buren,1937,1937,park place,
Jef Verheyen,1932,1932,zero,
Robert Swain,1940,1940,park place,
Ralston Crawford,1906,1906,independent group,
Duccio,1255,1255,sienese school,
Giotto,1266,1266,florentine school,
Aleksey Savrasov,1830,1830,peredvizhniki (society for traveling art exhibitions),
Anton Mauve,1838,1838,hague school,
Charles Hermans,1932,1932,anseremme art colony,
Charles Jacque,1813,1813,barbizon school,
Constant Troyon,1810,1810,barbizon school,
David Bates,1945,1945,birmingham school,
David Cox,1924,1924,birmingham school,
Eastman Johnson,1824,1824,düsseldorf school of painting,
Efim Volkov,1928,1928,peredvizhniki (society for traveling art exhibitions),
Filippo Cifariello,1864,1864,neapolitan school,
Fyodor Vasilyev,1850,1850,peredvizhniki (society for traveling art exhibitions),
Grigoriy Myasoyedov,1834,1834,peredvizhniki (society for traveling art exhibitions),
Ivan Kramskoy,1837,1837,peredvizhniki (society for traveling art exhibitions),
Ivan Shishkin,1831,1831,peredvizhniki (society for traveling art exhibitions),
Jakub Schikaneder,1855,1855,munich school (σχολή του μονάχου),
Johan Hendrik Weissenbruch,1824,1824,hague school,
John Collier,1850,1850,pre-raphaelite brotherhood,
John Everett Millais,1829,1829,pre-raphaelite brotherhood,
Joseph Urbania,1877,1877,vienna secession,
Klavdy Lebedev,1852,1852,peredvizhniki (society for traveling art exhibitions),
Mykola Murashko,1844,1844,kyiv drawing school of murashko,
Mykola Yaroshenko,,-999999,peredvizhniki (society for traveling art exhibitions),
Theodore Rousseau,1810,1810,barbizon school,
Thomas Dewing,1851,1851,ten (ten american painters),
Vasily Perov,1834,1834,peredvizhniki (society for traveling art exhibitions),
Viktor Vasnetsov,1848,1848,union of russian artists,
Viktor Vasnetsov,1848,1848,peredvizhniki (society for traveling art exhibitions),
Vladimir Makovsky,1846,1846,peredvizhniki (society for traveling art exhibitions),
Winslow Homer,1836,1836,tile club,
Allan Ramsay,1713,1713,scottish school,
Bernardo Bellotto,1722,1722,venetian school,
George Morland,1763,1763,english school,
George Romney,1734,1734,english school,
Giovanni Battista Tiepolo,1696,1696,venetian school,
John Jackson,1880,1880,english school,
Thomas Gainsborough,1727,1727,english school,
Alberto Sotio,1100,1100,spoleto school,
Arthur Hughes,1832,1832,pre-raphaelite brotherhood,
Dante Gabriel Rossetti,1828,1828,pre-raphaelite brotherhood,
Edwin Austin Abbey,1852,1852,tile club,
Ford Madox Brown,1821,1821,pre-raphaelite brotherhood,
Frederick Sandys,1829,1829,norwich school,
Frederick Sandys,1829,1829,pre-raphaelite brotherhood,
Gustaf Wappers,1803,1803,flemish school,
Henry Raeburn,1756,1756,scottish school,
Hermann Ottomar Herzog,1831,1831,düsseldorf school of painting,
Hermann Ottomar Herzog,1831,1831,hudson river school,
Ivan Aivazovsky,1817,1817,cimmerian art school,
James Campbell,1805,1805,pre-raphaelite brotherhood,
Jan Matejko,1838,1838,kraków school,
John Constable,1776,1776,english school,
John Crome,1768,1768,norwich school,
John Lee,1915,1915,pre-raphaelite brotherhood,
John Roddam Spencer Stanhope,1829,1829,pre-raphaelite brotherhood,
John Ruskin,1819,1819,pre-raphaelite brotherhood,
Julia Margaret Cameron,1815,1815,pre-raphaelite brotherhood,
Mary Josephine Walters,1837,1837,hudson river school,
Polychronis Lembesis,1848,1848,munich school (σχολή του μονάχου),
Richard Dadd,1817,1817,clique,
Robert Bateman,1930,1930,pre-raphaelite brotherhood,
Rudolf von Alt,1812,1812,vienna secession,
Samuel Palmer,1805,1805,ancients,
Simeon Solomon,1840,1840,pre-raphaelite brotherhood,
Thomas Cole,1949,1949,hudson river school,
Thomas Hill,1971,1971,hudson river school,
Thomas Moran,1837,1837,rocky mountain school,
Thomas Moran,1837,1837,hudson river school,
Wilhelm von Kaulbach,1805,1805,düsseldorf school of painting,
William Bradford,1755,1755,hudson river school,
William Hart,1823,1823,hudson river school,
William Morris,1834,1834,pre-raphaelite brotherhood,
Karpo Trokhymenko,1885,1885,kyiv drawing school of murashko,
Karpo Trokhymenko,1885,1885,akhku (association of artists of red ukraine),
Lucio Fontana,1899,1899,zero,
Turi Simeti,1929,1929,zero,
Boris Margo,1902,1902,new york school,
Conroy Maddox,1912,1912,birmingham surrealists,
Edward Weston,1886,1886,group f/64,
Gustavo Foppiani,1925,1925,piacenza school,
Leonora Carrington,1917,1917,la ruptura (breakaway movement),
Max Walter Svanberg,1912,1912,cobra,
Albert Pinkham Ryder,1847,1847,society of american artists,
Alfred Kubin,1877,1877,degenerate art,
Felicien Rops,1833,1833,anseremme art colony,
William Blake,1757,1757,english school,
Alexandre Istrati,1915,1915,école de paris,
Camille Bryen,1907,1907,phases,
Camille Bryen,1907,1907,école de paris,
Gerard Schneider,1896,1896,école de paris,
Jean Bertholle,1909,1909,école de paris,
Louis Van Lint,1909,1909,jeune peinture belge,
George Inness,1825,1825,american barbizon school,
George Inness,1825,1825,hudson river school,
Andreas Gursky,1955,1955,düsseldorf school of photography,
Igor Grabar,1871,1871,union of russian artists,
Igor Grabar,1871,1871,mir iskusstva (world of art),
Wu Daozi,680,680,four fathers of chinese painting,
El Greco,1541,1541,cretan school,
Utagawa Toyokuni,1769,1769,utagawa school,
Robert Henri,1865,1865,ashcan school,
Robert Henri,1865,1865,eight,
Robert Delaunay,1885,1885,la ruche,
Robert Delaunay,1885,1885,société des artistes indépendants (society of independent artists),
Robert Delaunay,1885,1885,der blaue reiter (the blue rider),
Robert Delaunay,1885,1885,école de paris,
Myung Sook Kim,1999,1999,ewha woman's university,
Myung Sook Kim,1999,1999,painting.,
Myung Sook Kim,1999,1999,korea. b.f.a.,
Myung Sook Kim,1999,1999,seoul,
Jae Hoon Lee,,-999999,korean painting.,
Jae Hoon Lee,,-999999,korea. b.f.a. & m.f.a.,
Jae Hoon Lee,,-999999,chungang university. seoul,
Byung Jin Kim,,-999999,suwon university. korea. m.f.a.,
Byung Jin Kim,,-999999,sculpture.,
Seung Young Kim,,-999999,hongik university. seoul,
Seung Young Kim,,-999999,m.f.a. sculpture,
Seung Young Kim,,-999999,korea. b.f.a.,
Seung Hee Kim,1954,1954,seoul national university. seoul,
Seung Hee Kim,1954,1954,korea. b.f.a.indiana university,
Seung Hee Kim,1954,1954,usa. m.f.a.,
Myung Jin Song,,-999999,hongik university. seoul,
Myung Jin Song,,-999999,painting.,
Myung Jin Song,,-999999,korea. m.f.a.,
Jong Gu Lee,,-999999,1986-1988 inha uinversity. incheon,
Jong Gu Lee,,-999999,painting,
Jong Gu Lee,,-999999,korea. b.f.a.,
Jong Gu Lee,,-999999,arts education. 1972~1976 chungang university. seoul,
Jong Gu Lee,,-999999,korea. m.f.a.,
Yun Soo Kim,,-999999,korea. m.f.a.,
Yun Soo Kim,,-999999,sculpture.,
Yun Soo Kim,,-999999,chungang university. seoul,
Young Min Kang,,-999999,seoul national university,
Young Min Kang,,-999999,painting.,
Young Min Kang,,-999999,m.f.a.,
Jiwon Kim,,-999999,painting.,
Jiwon Kim,,-999999,staatliche hochschule fur bildende kunste stadelschul frankfurt am main(bai jörg immendorff).  inha university. korea. b.f.a.,
Hyun Chung,,-999999,hongik university. seoul,
Hyun Chung,,-999999,korea. b.f.a. & m.f.a.,
Hyun Chung,,-999999,france,
Hyun Chung,,-999999,sculpture.diplome de i`ecole nationale superieure de beaux-arts de paris,
Joon Kim,,-999999,hongik university. seoul,
Joon Kim,,-999999,painting.,
Joon Kim,,-999999,m.f.a.,
Joon Kim,,-999999,korea. b.f.a.,
Jia Chang,1388,1388,m.a.,
Jia Chang,1388,1388,korea. b.f.a.,
Jia Chang,1388,1388,chugye university for the arts. seoul,
Jia Chang,1388,1388,korea.korean national university of the art. seoul,
Juyeon Kim,,-999999,berlingraduated at hochschule der kuenste,
Juyeon Kim,,-999999,berlingraduated from fine art dep. of chonnam university,
Juyeon Kim,,-999999,gwangju,
Juyeon Kim,,-999999,meisterschuelerin on the prof. anna oppermann at hochschule der kuenste,
Byoungho Kim,,-999999,korea. m.s.,
Byoungho Kim,,-999999,technology art.,
Byoungho Kim,,-999999,chungang university. seoul,
Abanindranath Tagore,1871,1871,bengal school,
Sofonisba Anguissola,1532,1532,lombard school,
Nandalal Bose,1882,1882,bengal school,
John French Sloan,1871,1871,ashcan school,
John French Sloan,1871,1871,eight,
Lavinia Fontana,1552,1552,bolognese school,
Ansel Adams,1902,1902,group f/64,
Otto Dix,1891,1891,dresden secession,
Otto Dix,1891,1891,degenerate art,
Yves Klein,1928,1928,zero,
Orazio Gentileschi,1563,1563,caravaggisti,
Rosso Fiorentino,1494,1494,florentine school,
Marc Chagall,1887,1887,donkey's tail (osliniy khvost),
Marc Chagall,1887,1887,la ruche,
Marc Chagall,1887,1887,soyuz molodyozhi (union of the youth),
Marc Chagall,1887,1887,école de paris,
Marc Chagall,1887,1887,degenerate art,
Shibata Zeshin,1807,1807,shijō school,
Parmigianino,1503,1503,parma school,
Edward Hopper,1882,1882,ashcan school,
Edward Hopper,1882,1882,eight,
Henri Rousseau,1844,1844,painters of the sacred heart,
Hiroshige,1797,1797,utagawa school,
Paolo Veronese,1528,1528,venetian school,
Tintoretto,1519,1519,venetian school,
Giorgio Vasari,1511,1511,tuscan school,
Henri Edmond Cross,1856,1856,société des artistes indépendants (society of independent artists),
Joan Brown,1938,1938,bay area figurative school,
Adriano de Sousa Lopes,1879,1879,portugal1914,
William Allen Rogers,1854,1854,1882,
William Allen Rogers,1854,1854,harper's weekly,
William Allen Rogers,1854,1854,vol. xxvi,
William Allen Rogers,1854,1854,february 25,
William Allen Rogers,1854,1854,no.1314,
William Allen Rogers,1854,1854,p.120,
Sultan Muhammad,1470,1470,tabriz school,
Kano Eitoku,1543,1543,kanō school,
Kano Motonobu,1476,1476,kanō school,
Reg Butler,1913,1913,geometry of fear,
Sanyu,1907,1907,école de paris,
Alphonse,1842,1842,www.daguerreobase.org/en/type/fa4846c0-aeae-03fb-ee3b-8a3605d10baf,
Alphonse Bertrand,1846,1846,www.daguerreobase.org/en/type/d4b67834-6daf-819a-ffbd-a368166c4da8,
Philibert,1954,1954,denmark,
Philibert,1954,1954,det nationale fotomuseum,
Enrico Federico Jest,1750,1750,http://www.daguerreobase.org/en/type/bfaef794-e5d2-3c43-7309-3b1eeb632b14,
Arnaldo Garcez,,-999999,portugal1914,
