title,artwork_date,artist_name,birth_year,birth_year_key
Le Surréalisme en 1947,1947,Marcel Jean,1900,1900
Le Surréalisme en 1947,1947,Suzanne van Damme,1901,1901
Le Surréalisme en 1947,1947,Toyen (Marie Čermínová),1902,1902
Double page plate (folios 6 verso and 7) from LAISSES,1975,René Pierre Tal-Coat,1905,1905
Untitled from Five Works,1987,Jene Highstein,1942,1942
Plate 1 (folio 4) from AURORA,1975,Carlfriedrich Claus,1930,1930
Plate (folio 1 verso) from GEDICHTE,1978,Eberhard Göschel,1943,1943
Title page from SOME ARACHNIDS,1961,Joyce Sills,1940,1940
Sem' plius tri,1918,Mane-Katz,1894,1894
Onan,1934,Salvador Dalí,1904,1904
"Onze Peintres (Eleven Painters): Taeuber, Kandinsky, Leuppi, Vordemberge, Arp, Delaunay, Schwitters, Kiesler, Morris, Magnelli, Ernst",1949,Léo Leuppi,1893,1893
"Page 5 (folio 2) from A Humument, Volume I",1966,Tom Phillips,1937,1937
Plate (folio 4) from Fraternity,1939,John Buckland-Wright,1897,1897
Fraternity,1939,Luis Vargas Rosas,1897,1897
Fraternity,1939,Roderick Mead,1900,1900
Fraternity,1939,Dalla Husband,1899,1899
Fraternity,1939,Dolf Rieser,1893,1893
Title page from SALTO'S TRAESNIT,1939,Axel Salto,1889,1889
Plate I from Wrinkle,1968,Liliana Porter,1941,1941
"ARIES (plate, folio 3) from ZODIAQUE",1964,Terry Haass,1923,1923
Plate (folio 6 verso) from JEUX DE TRAMES,1962,Joël Stein,1926,1926
"MT. SHASTA, plate 1 (folio 4) from THE WORLD IS A GIFT",1987,Frank LaPena,1937,1937
"Radians'kii teatr (The Soviet Theater), no. 1",1929,Anatol' Petryts'kyi,1895,1895
Groznyi smekh. Okna ROSTA (A Menacing Laughter: The ROSTA Windows),1932,Boris Ignatovich,1899,1899
"SHIELD OF ABRAHAM (plate, folio 3) from THE SILENT PRAYER",1977,Peter Freudenthal,1938,1938
"Neizdannyi Khlebnikov, vols. 1-19, 23, and 24",1928,Velimir Khlebnikov,1885,1885
Plate (folio 8) from XXXIII SONNETS,1950,Jean Piaubert,1900,1900
"WRITTEN ON THE DOOR (unbound ""frontispiece"") from IMAGES OF ÉLOGES",1979,Helene Fesenmaier,1937,1937
Plate (page 25) from LE BLANC ET LE NOIR,1980,Eugène Ionesco,1909,1909
"LILY POND RITUAL SERIES 7/75: LATE AFTERNOON SUMMER, plate 1 from RITUAL SERIES",1980,Michael Singer,1945,1945
Grid without Influence from The Archives: Art Information Centre Peter Van Beveren,1981,Robert Jacks,1943,1943
The Archives: Art Information Centre Peter Van Beveren,1971,Marinus Boezem,1934,1934
The Archives: Art Information Centre Peter Van Beveren,1971,Robin Crozier,1936,1936
The Archives: Art Information Centre Peter Van Beveren,1971,Geurt van Dijk,1941,1941
The Archives: Art Information Centre Peter Van Beveren,1971,Hans Eijkelboom,1949,1949
The Archives: Art Information Centre Peter Van Beveren,1971,Ken Friedman,1939,1939
The Archives: Art Information Centre Peter Van Beveren,1971,Ad Gerritsen,1940,1940
The Archives: Art Information Centre Peter Van Beveren,1971,Woody van Amen,1936,1936
The Archives: Art Information Centre Peter Van Beveren,1971,Klaas Gubbels,1934,1934
The Archives: Art Information Centre Peter Van Beveren,1971,Dick Higgins,1938,1938
The Archives: Art Information Centre Peter Van Beveren,1971,Tommy Mew,1942,1942
The Archives: Art Information Centre Peter Van Beveren,1971,Yves De Smet,1946,1946
The Archives: Art Information Centre Peter Van Beveren,1971,Al Souza,1944,1944
The Archives: Art Information Centre Peter Van Beveren,1971,Endre Tót,1937,1937
The Archives: Art Information Centre Peter Van Beveren,1971,Timm Ulrichs,1940,1940
The Archives: Art Information Centre Peter Van Beveren,1971,Wim Gijzen,1941,1941
The Archives: Art Information Centre Peter Van Beveren,1971,Pieter Engels,1938,1938
The Archives: Art Information Centre Peter Van Beveren,1971,Mauricio Nannucci,1939,1939
The Archives: Art Information Centre Peter Van Beveren,1971,Miguel-Ángel Cárdenas,1934,1934
Stol (Table),1926,Evgeniia Evenbakh,1889,1889
"Khudozhestvennoe oformlenie massovykh prazdnestv v Leningrade, 1918-1931",1932,Vladimir Baranoff-Rossiné,1888,1888
"Khudozhestvennoe oformlenie massovykh prazdnestv v Leningrade, 1918-1931",1932,Mstislav Dobuzhinskii,1875,1875
Speculum animae,1911,Sergei Soudeikine,1882,1882
Trace from Witness,1968,Gerald Laing,1936,1936
Rrose Sélavy in Wilson-Lincoln System from To and From Rrose Sélavy,1967,Shuzo Takiguchi,1903,1903
Plate (folio 2 verso or 17) from EX ADVERSO,1967,William Brui,1946,1946
Sneewittchen,1965,Warja Lavater,1913,1913
Plamia pyshet,1913,Lev Zak,1892,1892
100 Grabados,1947,José Guadalupe Posada,1852,1852
La Construction de la Cabane,1976,Jean Le Gac,1936,1936
LE MINI-DAVID,1970,Miguel Ortiz Berrocal,1933,1933
IBM Drawings,1966,Edward Meneeley,1927,1927
Five Psalms,1969,Henry Pearson,1914,1914
Nochnaia fleita. Stikhi,1914,Sergei Bobrov,1889,1889
"Sharmanka. P'esy, stikhi, proza",1914,Nadezhda Liubavina,1892,1892
Plate (folio 5) from PANTOMIMA,1977,Marco Gastini,1938,1938
Frontispiece from A TRAVEL BOOK,1976,Fred Martin,1927,1927
"FIG. A (plate, folio 13) from LA PRISON CHIFFRÉE DU TEMPS",1977,Vladimir Veličković,1935,1935
Oxford Gardens a Sketchbook,1977,Ivor Abrahams,1935,1935
Z,1976,Karen Eubel,1942,1942
Mr. U,1927,Léonard Tsuguharu Foujita,1886,1886
Book from Black Box,1970,Tetsumi Kudo,1935,1935
"RIM RAT, plate 1 (folio 3) from A SUITE OF DAZE",1975,William T. Wiley,1937,1937
Samosozhzhenie. Otkroveniia,1916,Lev Bruni,1894,1894
Plate (folio 2) from 13 VARIATIONS,1958,Emmett Williams,1925,1925
Ex-Libris for P. V. Gubar,1925,Il'ia Chashnik,1902,1902
"John Newman, Zeichnungen/Drawings",1990,John Newman,1952,1952
A Lost Lady,1983,William Bailey,1930,1930
Fold-out plate (preceding page 1) from THE SECRET SHARER,1985,Bruce Chandler,1945,1945
"SELF PORTRAIT (plate, folio 9) from LOS SIETE PECADOS CAPITALES",1986,Leonel Gongora,1932,1932
In-text plate (page 3) from DE MARGINIS SOPHIA,1986,Sahlan Momo,1944,1944
"Front cover from Parole in libertà futuriste, tattili-termiche olfattive (Words in Futurist, Olfactory, Tactile, Thermal Freedom)",1932,Tullio d'Albisola (Tullio Spartaco Mazzotti),1899,1899
In-text plate (folio I) from 10 RADIERUNGEN,1969,Karl Bohrmann,1928,1928
Frontispiece (folio 3) from The Adventures of a Novel in Four Chapters,1991,Bruce Conner,1933,1933
Frontispiece from MACUNAÍMA,1957,Carybé (Hector Bernabó),1911,1911
"Futurists, Abstractionists, Dadaists: the Forerunners of the Avant-Garde, vol. I",1961,Joseph Lacasse,1894,1894
"Futurists, Abstractionists, Dadaists: the Forerunners of the Avant-Garde, vol. I",1961,Stanton Macdonald-Wright,1890,1890
"Futurists, Abstractionists, Dadaists: the Forerunners of the Avant-Garde, vol. I",1961,Alfred Reth,1884,1884
"Futurists, Abstractionists, Dadaists: the Forerunners of the Avant-Garde, vol. I",1961,Hans Richter,1888,1888
"Futurists, Abstractionists, Dadaists: the Forerunners of the Avant-Garde, vol. I",1961,Farfa,1881,1881
Plate (folio 4) from LETTRE À UN GENOU,1963,Agustín Fernández,1928,1928
"Hexastichon Bibliopolae (plate, page 15) from Songs and Sonets",1959,June Wayne,1918,1918
"Landscape at Auvers, plate I (frontispiece) from Cézanne",1914,Paul Cézanne,1839,1839
Cézanne,1914,Édouard Vuillard,1868,1868
Plate (folio 8) from MICROCOSME,1965,Zwi Milshtein,1934,1934
Twelve Prints and Poems,1995,Peter Nadin,1954,1954
Plate (facing page v) from POEMS OF DEATH,1945,Michael Ayrton,1921,1921
Headpiece (following title page) from HOUSE OF INCEST,1943,Ian (Hugh Guiler) Hugo,1898,1898
Plate (folio 4) from Respira (Breath),1982,Antonio Papasso,1932,1932
"PILLOW IN THE MOUNTAINS (plate, folio 4) from JUAREZ",1975,Terry Allen,1943,1943
Plate I (folio 4) from FROM JEWISH POEMS,1959,Maurice Grosman,1900,1900
Headpiece (folio 4) from Coeur de chêne,1921,Manolo (Manuel Martínez Hugué),1872,1872
Title page from LA VILLE,1925,Frans Masereel,1889,1889
Frontispiece from THE ANTE-PURGATORIO,1964,Jack Zajac,1929,1929
Plate (folio 5) from Postcards from Trakl,1989,Bill Jensen,1945,1945
Plate (folio 4) from Estampas del Popol-Vuh,1943,Carlos Mérida,1891,1891
Couple in the Mangue (Casal no Mangue) from Mangue,1941,Lasar Segall,1889,1889
K zaumi. Fonicheskaia muzyka i funktsii soglasnykh fonem (Towards a Transrational Language: Phonic Music and the Functions of Constant Phonemes),1924,Boris Ender,1893,1893
ABSTRACT DESIGN (FLIGHT) (title page) from PRIMITIVES,1920,Max Weber,1881,1881
COCAGNE LANDSCAPE (title page) from ALMANACH DE COCAGNE: Pour l'an 1921,1920,Sonia Lewitzka,1882,1882
Almanach de cocagne: pour l'an 1921,1920,Henriette Tirman,1875,1875
Almanach de cocagne: pour l'an 1921,1920,Enric Ricart,1893,1893
Almanach de cocagne: pour l'an 1921,1920,Jean Marchand,1883,1883
Almanach de cocagne: pour l'an 1921,1920,Gaspard Maillol,1880,1880
Almanach de cocagne: pour l'an 1921,1920,Pierre Girieud,1875,1875
Almanach de cocagne: pour l'an 1921,1920,Paul-Elie Gernez,1888,1888
Almanach de cocagne: pour l'an 1921,1920,Louis Bouquet,1885,1885
Plate (folio 10) from Art abstrait (Abstract Art),1946,Aimé Félix Del Marle,1889,1889
Art abstrait (Abstract Art),1946,Marie Raymond,1908,1908
Art abstrait (Abstract Art),1946,Adolf Richard Fleischmann,1892,1892
Art abstrait (Abstract Art),1946,Jean Deyrolle,1911,1911
Art abstrait (Abstract Art),1946,Nicolaas Warb (Sophie Warburg),1906,1906
Plate (folio 18) from Art abstrait (Abstract Art),1946,Engel-Pak,1885,1885
5 Constructionen + 5 Compositionen,1941,Hans Fischli,1909,1909
5 Constructionen + 5 Compositionen,1941,Vreni Löwensberg,1912,1912
Dvenadtsat' ballad,1925,Evgenii Belukha,1889,1889
"The Spirit of Appeasement (plate, folio 2) from Salvo for Russia",1942,John Banting,1902,1902
Salvo for Russia,1942,Mary Wykeham,1909,1909
Salvo for Russia,1942,Geza Szobel,1905,1905
Salvo for Russia,1942,Roland Penrose,1900,1900
Salvo for Russia,1942,Ithell Colquhoun,1906,1906
"ESSENTIAL INTERIORIZATION WITH HORIZONTAL READINGS, plate 1 (folio 16) from 10 CONDIZIONI LINEARI DI SEGNALETICA ALEATORIA",1970,Pic Adrian,1910,1910
Plate (page 6) from TEGNINGER I MØRKET,1977,Troels Wörsel,1950,1950
Inches and Field,1978,Sylvia Plimack Mangold,1938,1938
"PREFACE (plate, folio 3) from A PREFACE AND FOUR SEASONS",1959,John Levee,1924,1924
Frontispiece (folio 2) from The Mariposa Suite Nos. I-VI,1970,Warrington Colescott,1921,1921
Plate (folio 5) from BESTIAIRE,1958,Dolly Perutz,1908,1908
12345,1998,Rona Pondick,1952,1952
"...LIKE A SLEEPWALKER ON THE RIDGE OF HIS INNER NECESSITY..., plate 1 (page 7) from THE LOVING SHEPHERDESS",1956,Jean Kellogg,1910,1910
Frontispiece from LOS RENEGADOS,1962,Lorenzo Homar,1913,1913
"EARTH (plate, folio 5) from THE FIVE ELEMENTS",1983,Merle Spandorfer,1934,1934
Plate 1 (folio 4) from Her Story,1988,Elizabeth Murray,1940,1940
Plate (folio 3 verso) from WHALE TALK,1961,Joe Downing,1925,1925
Komsomoliia. Stranitsy epopei,1924,B. Efimov,1900,1900
"Nash zhurnal, no. 2",1922,Aleksei Kravchenko,1889,1889
Printsessa Turandot. Teatral'no-tragicheskaia Kitaiskaia skazka v 5 aktakh,1923,Ignatii Nivinskii,1881,1881
Mille Regrets (A Thousand Regrets),1947,Christian Bérard,1902,1902
"Nine-page plate (folios 2-10) from 1956 UNGARN, 1959 TIBET, HOMMAGE",1959,Jürgen Brodwolf,1932,1932
Artillery Corps Going Across Mountains from the series Elegy for a New Conscript,1953,Chimei Hamada,1917,1917
Pictorial initial and tailpiece (page 384) from Les Petites Fleurs de St. François (The Little Flowers of St. Francis),1928,St. Francis of Assisi,1181,1181
Title page from The Fables of Aesop,1818,Thomas Bewick,1753,1753
Monsieur Benoît's Lament (La complainte de M. Benoît) from Répertoire des Pantins,1898,Alfred Jarry,1873,1873
Wrapper for UBU ROI OVERTURE from RÉPERTOIRE DES PANTINS,1898,Alfred Jarry,1867,1867
In-text plate (page 11) from Parallèlement (In Parallel),1900,Paul Verlaine,1844,1844
In-text plate (page 11) from Parallèlement (In Parallel),1900,Paris,1858,1858
Berliner Mauer Todesstreifen,1992,Ekkeland Götze,1948,1948
"Ne me corrige... (Rebuke me not...) (plate, folio 6) from Psaumes pénitentiels de David (David's Penitential Psalms)",1956,Alain de La Bourdonnaye,1930,1930
Über den Begrift des Geschichte Angelus Novus,1993,Heribert Ottersbach,1960,1960
Ispaniia vols. 1-2,1937,Sophie Lissitzky,1891,1891
Mesa Verde,1992,Robert Therrien,1947,1947
Ewige Pflanzlichkeit,1989,Olaf Wegewitz,1949,1949
Draft Notes for a Conversation on Dante,1993,Robert Wilson,1941,1941
Kabarett Fledermaus (Cabaret Fledermaus),1907,Fritz Zeymer,1886,1886
Our Grandmothers,1992,John Biggers,1924,1924
SITZEN STEHEN LIEFEN: MODELL FUR EIN BUCH with excerpts from GULLIVER'S TRAVELS,1995,Matthias Mansen,1958,1958
4 Poets/Poems,1993,Edward Colker,1927,1927
Title page from LES FABLES,1941,André Collot,1897,1897
Ten Sonnets,1924,Othon Coubine (or Otakar Kubin),1883,1883
The Discovery and Conquest of Mexico: 1517-1521,1942,Miguel Covarrubias,1904,1904
Title page (folio 1) from Toro Desconocido,1960,Romas Viesulas,1918,1918
In-text plate (folio 4) from POEMAS DE MADERA Y SOLEDAD,1960,Juan Carlos Stekelman,1936,1936
Portrait of Goethe (plate facing page 1) from Faust,1825,Eugène Delacroix,1798,1798
MATOREL EN PROVINCE,1921,Jules Depaquit,1872,1872
MATOREL EN PROVINCE,1921,Max Jacob,1876,1876
"L'AVANGUARDIA INTERNAZIONALE, Volume 1/ L'AVANT-GARDE INTERNATIONALE, Volume 1/THE INTERNATIONAL AVANT-GARDE, Volume 1",1960,Yozo Hamaguchi,1909,1909
"L'AVANGUARDIA INTERNAZIONALE, Volume 1/ L'AVANT-GARDE INTERNATIONALE, Volume 1/THE INTERNATIONAL AVANT-GARDE, Volume 1",1960,Josaku Maeda,1926,1926
"L'AVANGUARDIA INTERNAZIONALE, Volume 1/ L'AVANT-GARDE INTERNATIONALE, Volume 1/THE INTERNATIONAL AVANT-GARDE, Volume 1",1960,Hisao Domoto,1928,1928
"L'AVANGUARDIA INTERNAZIONALE, Volume 1/ L'AVANT-GARDE INTERNATIONALE, Volume 1/THE INTERNATIONAL AVANT-GARDE, Volume 1",1960,Lucio Del Pezzo,1933,1933
"L'AVANGUARDIA INTERNAZIONALE, Volume 1/ L'AVANT-GARDE INTERNATIONALE, Volume 1/THE INTERNATIONAL AVANT-GARDE, Volume 1",1960,Hans Meyer-Petersen,1937,1937
"L'AVANGUARDIA INTERNAZIONALE, Volume 1/ L'AVANT-GARDE INTERNATIONALE, Volume 1/THE INTERNATIONAL AVANT-GARDE, Volume 1",1960,Jacques Lacomblez,1934,1934
"L'AVANGUARDIA INTERNAZIONALE, Volume 1/ L'AVANT-GARDE INTERNATIONALE, Volume 1/THE INTERNATIONAL AVANT-GARDE, Volume 1",1960,Henri Ginet,1923,1923
"L'AVANGUARDIA INTERNAZIONALE, Volume 1/ L'AVANT-GARDE INTERNATIONALE, Volume 1/THE INTERNATIONAL AVANT-GARDE, Volume 1",1960,Marie Carlier,1920,1920
"L'AVANGUARDIA INTERNAZIONALE, Volume 1/ L'AVANT-GARDE INTERNATIONALE, Volume 1/THE INTERNATIONAL AVANT-GARDE, Volume 1",1960,Gianni Bertini,1922,1922
"L'AVANGUARDIA INTERNAZIONALE, Volume 1/ L'AVANT-GARDE INTERNATIONALE, Volume 1/THE INTERNATIONAL AVANT-GARDE, Volume 1",1960,William Copley,1919,1919
"L'AVANGUARDIA INTERNAZIONALE, Volume 1/ L'AVANT-GARDE INTERNATIONALE, Volume 1/THE INTERNATIONAL AVANT-GARDE, Volume 1",1960,Roland Giguère,1929,1929
"Plate 10 from L'AVANGUARDIA INTERNAZIONALE, Volume 1/L'AVANT-GARDE INTERNATIONALE, Volume 1/THE INTERNATIONAL AVANT-GARDE, Volume 1",1962,Erró (Gudmundur Gudmundsson),1932,1932
"L'Avanguardia Internazionale/L'Avant-Garde Internationale/The International Avant-Garde, vol. 2",1961,Carl Fredrik Reuterswärd,1934,1934
"L'Avanguardia Internazionale/L'Avant-Garde Internationale/The International Avant-Garde, vol. 2",1961,Key Sato,1906,1906
"L'Avanguardia Internazionale/L'Avant-Garde Internationale/The International Avant-Garde, vol. 2",1961,Toshimitsu Imai,1928,1928
"L'Avanguardia Internazionale/L'Avant-Garde Internationale/The International Avant-Garde, vol. 2",1961,Philip John Martin,1927,1927
"L'Avanguardia Internazionale/L'Avant-Garde Internationale/The International Avant-Garde, vol. 2",1961,Jacques Zimmerman,1929,1929
"L'Avanguardia Internazionale/L'Avant-Garde Internationale/The International Avant-Garde, vol. 2",1961,Philippe Hiquily,1925,1925
"L'Avanguardia Internazionale/L'Avant-Garde Internationale/The International Avant-Garde, vol. 2",1961,Jean-Pierre Vielfaure,1930,1930
"L'Avanguardia Internazionale/L'Avant-Garde Internationale/The International Avant-Garde, vol. 2",1961,Mario Persico,1930,1930
"L'Avanguardia Internazionale/L'Avant-Garde Internationale/The International Avant-Garde, vol. 2",1961,Myriam Bat-Yosef,1931,1931
"L'Avanguardia Internazionale/L'Avant-Garde Internationale/The International Avant-Garde, vol. 2",1961,Jean-Jacques Lebel,1936,1936
"L'Avanguardia Internazionale/L'Avant-Garde Internationale/The International Avant-Garde, vol. 2",1961,Guy Harloff,1933,1933
"Plate 1 from L'AVANGUARDIA INTERNAZIONALE, Volume 3/L'AVANT-GARDE INTERNATIONALE, Volume 3/THE INTERNATIONAL AVANT-GARDE, Volume 3",1962,Nobuya Abe,1913,1913
"L'AVANGUARDIA INTERNAZIONALE, Volume 3/L'AVANT-GARDE INTERNATIONALE, Volume 3/THE INTERNATIONAL AVANT-GARDE, Volume 3",1960,E.L.T. (Edouard Léon Théodore) Mesens,1903,1903
"L'AVANGUARDIA INTERNAZIONALE, Volume 3/L'AVANT-GARDE INTERNATIONALE, Volume 3/THE INTERNATIONAL AVANT-GARDE, Volume 3",1960,Augustin Càrdenas,1927,1927
"L'AVANGUARDIA INTERNAZIONALE, Volume 3/L'AVANT-GARDE INTERNATIONALE, Volume 3/THE INTERNATIONAL AVANT-GARDE, Volume 3",1960,N. Krishna Reddy,1925,1925
"L'AVANGUARDIA INTERNAZIONALE, Volume 3/L'AVANT-GARDE INTERNATIONALE, Volume 3/THE INTERNATIONAL AVANT-GARDE, Volume 3",1960,Öyvind Fahlström,1928,1928
"L'AVANGUARDIA INTERNAZIONALE, Volume 3/L'AVANT-GARDE INTERNATIONALE, Volume 3/THE INTERNATIONAL AVANT-GARDE, Volume 3",1960,Yasse Tabuchi,1921,1921
"L'AVANGUARDIA INTERNAZIONALE, Volume 3/L'AVANT-GARDE INTERNATIONALE, Volume 3/THE INTERNATIONAL AVANT-GARDE, Volume 3",1960,Bernard Quentin,1923,1923
"L'AVANGUARDIA INTERNAZIONALE, Volume 3/L'AVANT-GARDE INTERNATIONALE, Volume 3/THE INTERNATIONAL AVANT-GARDE, Volume 3",1960,Sergio Dangelo,1931,1931
Yellow Comb,1962,Riko Debenjak,1908,1908
"L'AVANGUARDIA INTERNAZIONALE, Volume 3/L'AVANT-GARDE INTERNATIONALE, Volume 3/THE INTERNATIONAL AVANT-GARDE, Volume 3",1960,Chinn Yuen-Yuei,1923,1923
"L'AVANGUARDIA INTERNAZIONALE, Volume 3/L'AVANT-GARDE INTERNATIONALE, Volume 3/THE INTERNATIONAL AVANT-GARDE, Volume 3",1960,Guido Biasi,1933,1933
"L'AVANGUARDIA INTERNAZIONALE, Volume 3/L'AVANT-GARDE INTERNATIONALE, Volume 3/THE INTERNATIONAL AVANT-GARDE, Volume 3",1960,Juan Langlois,1926,1926
"L'AVANGUARDIA INTERNAZIONALE, Volume 3/L'AVANT-GARDE INTERNATIONALE, Volume 3/THE INTERNATIONAL AVANT-GARDE, Volume 3",1960,Claude Viseux,1927,1927
"L'AVANGUARDIA INTERNAZIONALE, Volume 3/L'AVANT-GARDE INTERNATIONALE, Volume 3/THE INTERNATIONAL AVANT-GARDE, Volume 3",1960,Paul Revel,1922,1922
"Plate 19 from L'AVANGUARDIA INTERNAZIONALE, Volume 3/L'AVANT-GARDE INTERNATIONALE, Volume 3/THE INTERNATIONAL AVANT-GARDE, Volume 3",1962,Tancredi (Tancredi Parmeggiani),1927,1927
"Plate 3 from L'AVANGUARDIA INTERNAZIONALE, Volume 3/L'AVANT-GARDE INTERNATIONALE, Volume 3/THE INTERNATIONAL AVANT-GARDE, Volume 3",1962,Bona,1926,1926
"Plate 1 from l'Avanguardia Internazionale, Volume 4/l'Avant-Garde Internationale, Volume 4/The International Avant-Garde, Volume 4",1960,Tadeusz Brzozowski,1918,1918
"l'Avanguardia Internazionale, Volume 4/l'Avant-Garde Internationale, Volume 4/The International Avant-Garde, Volume 4",1960,Jerzy Tchorzewski,1928,1928
"l'Avanguardia Internazionale, Volume 4/l'Avant-Garde Internationale, Volume 4/The International Avant-Garde, Volume 4",1960,André Verlon (Willy Verkauf),1917,1917
"l'Avanguardia Internazionale, Volume 4/l'Avant-Garde Internationale, Volume 4/The International Avant-Garde, Volume 4",1960,Hundertwasser (Friedrich Stowasser),1928,1928
"l'Avanguardia Internazionale, Volume 4/l'Avant-Garde Internationale, Volume 4/The International Avant-Garde, Volume 4",1960,León Ferrari,1920,1920
"l'Avanguardia Internazionale, Volume 4/l'Avant-Garde Internationale, Volume 4/The International Avant-Garde, Volume 4",1960,Rodolfo Nieto,1936,1936
Big Table,1967,Naoto Nakagawa,1944,1944
"l'Avanguardia Internazionale, Volume 4/l'Avant-Garde Internationale, Volume 4/The International Avant-Garde, Volume 4",1960,Johnny Friedlaender,1912,1912
"l'Avanguardia Internazionale, Volume 4/l'Avant-Garde Internationale, Volume 4/The International Avant-Garde, Volume 4",1960,Jun Dobashi,1910,1910
"l'Avanguardia Internazionale, Volume 4/l'Avant-Garde Internationale, Volume 4/The International Avant-Garde, Volume 4",1960,Marcelle Cahn,1895,1895
"l'Avanguardia Internazionale, Volume 4/l'Avant-Garde Internationale, Volume 4/The International Avant-Garde, Volume 4",1960,Paul (Pavel Mansurov) Mansouroff,1896,1896
Frontispiece for GARGANTUA (page 3) from OEUVRES,1854,Gustave Doré,1832,1832
Title page from HERACLITUS,1965,Étienne Hajdu,1907,1907
Front cover from Crimes et Châtiments,1901,Félix Vallotton,1865,1865
THE RAVEN and THE PHILOSOPHY OF COMPOSITION,1951,Louis Favre,1892,1892
Half title page from HISTOIRE NATURELLE,1939,Démétrius Emmanuel Galanis,1882,1882
Frontispiece from THE PHOENIX AND THE TURTLE,1944,Léon Gischia,1903,1903
Plate (facing page 12) from PETITS POÈMES EN PROSE,1926,Marcel Gromaire,1892,1892
"Zhar-ptitsa, nos. 1-14",1921,Léon Bakst,1866,1866
Headpiece (folio 8) from LE VERRE D'EAU,1949,Eugène Nestor de Kermadec,1899,1899
Half title page from BESTIAIRE,1955,Abram Krol,1919,1919
TOI ET MOI,1924,Pierre Laprade,1875,1875
Les Biches,1924,Francis Poulenc,1899,1899
Composition (photogram) for flyleaf,1985,Varvara Rodchenko,1925,1925
Award for an outstanding shockworker,1931,Alexander Liubimov,1879,1879
Illustration for lyric verse of Bella Akhmadulina,1978,Nicholai Lavrentiev,1921,1921
PENTATOLI,1931,Edouard-Léon-Louis Edy-Legrand,1892,1892
THE DRAGONFLY (title page) from LE FLEUVE,1874,Édouard Manet,1832,1832
Headpiece (page 1) from L'Évangile (The Gospel),1947,Léo Marchutz,1903,1903
Wrapper front from UNE SAISON EN ENFER,1951,Lucien Coutaud,1905,1905
Plate (folio 2) from POR EL PUENTE DE LA PALABRA,1967,Carlos Silva,1930,1930
Karpenko-Karyi. Krytychno biohrafychnyi narys,1924,Nikolai Aseyev,1889,1889
Adygeis'kii pevets. Poema,1928,Ber Blank,1897,1897
Plate I (folio 3) from Voluspa,1965,Richard Mortensen,1910,1910
Poésie de mots inconnus,1949,Serge (Comte Serge Jastrebzoff) Férat,1881,1881
Témoignage,1956,Paul Lemagny,1903,1903
"...STILL A TOTALLY NUDE MAN!... (plate, facing page 28) from LE PÉRE UBU À LA GUERRE",1923,Jean Puy,1876,1876
"And there for the first time Daphnis looking on, she washed her own white body, pure in its loveliness (frontispiece) from The Pastoral Loves of Daphnis and Chloe",1934,Ruth Reeves,1892,1892
BALLADES,1956,J.J.J. (Jean-Jacques-Joachim) Rigal,1926,1926
"O Kurske, o komsomole, o mae, o polete, o Chapline, o Germanii, o nefti, o 5 Internatsionale i o proch",1924,Ruvim Mazel,1890,1890
"THE BURNING BUSH, plate I from THE GOD SEEKERS",1920,Reuven Rubin,1893,1893
Double page title page from INTO THE NIGHT LIFE,1945,Bezalel Schatz,1912,1912
XX SONNETS,1928,Ismael González de la Serna,1898,1898
NATURAL HISTORY,1960,Walter Stein,1924,1924
NOCES ET AUTRES HISTOIRES,1943,Théodore (Stravinsky) Strawinsky,1907,1907
Cuisine: Recueil de 117 Recettes,1935,André Villeboeuf,1893,1893
Pervaia vsesoiuznaia spartakiada,1928,Avenir Chernomordik,1897,1897
"TENTS IN BETH ALPHA, plate 1 (folio 3) from SCENES FROM THE KEREN HAYESOD SETTLEMENTS IN THE EMEK JEZREEL",1927,Grete Wolf-Krakauer,1890,1890
Title page from A BOOK OF TOWERS AND OTHER BUILDINGS OF SOUTHERN EUROPE,1928,Richard Wyndham,1896,1896
LES JUIFVES,1948,Léon Zack,1892,1892
Oscar Wilde (plate 1) from Le Pére Lachaise,1978,Francis Wishart,1951,1951
Frontispiece from LE PAYSAGISTE AUX CHAMPS,1866,Auguste Pèquègnot,1819,1819
LE PAYSAGISTE AUX CHAMPS,1866,Léon Lhermitte,1844,1844
LE PAYSAGISTE AUX CHAMPS,1866,Léopold Desbrosses,1821,1821
LE PAYSAGISTE AUX CHAMPS,1866,Jean Desbrosses,1835,1835
LE PAYSAGISTE AUX CHAMPS,1866,A. Portier,1850,1850
Plate (page 4) from OUVERT LA NUIT,1924,André Favory,1888,1888
Plate (page 64) from OUVERT LA NUIT,1924,Luc-Albert Moreau,1882,1882
"Ariane (plate, facing page 2) from D'Ariane à Zoé",1930,Wilhelm Gimmi,1886,1886
D'Ariane à Zoé,1930,Kiyoshi Hasegawa,1891,1891
D'Ariane à Zoé,1930,Maurice Barraud,1889,1889
D'Ariane à Zoé,1930,Jean Berque,1896,1896
D'Ariane à Zoé,1930,Pierre Eugène Clairin,1897,1897
D'Ariane à Zoé,1930,Jean Gabriel Daragnès,1886,1886
D'Ariane à Zoé,1930,Odette des Garets,1891,1891
D'Ariane à Zoé,1930,Yves Alix,1890,1890
D'Ariane à Zoé,1930,Raymonde Heudebert,1905,1905
D'Ariane à Zoé,1930,Jean Launois,1898,1898
D'Ariane à Zoé,1930,Alfred Lombard,1884,1884
D'Ariane à Zoé,1930,Mariette Lydis,1890,1890
D'Ariane à Zoé,1930,René Piot,1869,1869
