title,artwork_date,artist_name,birth_year,birth_year_key
"Endless Theatre Project, Plan",1924,Frederick Kiesler,1890,1890
"Project for a Painted Wall, New York City, New York (Perspective)",1969,Jason Crum,1935,1935
Airplane Hangar Project (Roof plan),1963,Konrad Wachsmann,1901,1901
"Town Plan Project, Kobe, Japan, Site plan",1994,Ricardo Bofill,1939,1939
"University of Toledo Center for the Visual Arts, Toledo, Ohio, Exterior perspective",1990,Frank O. Gehry,1929,1929
"Video Clip Folly Project, Groningen, The Netherlands, Exterior perspective",1993,Helmut Swiczinsky,1944,1944
"House for Venice Biennale project, Venice, Italy (Title board: aerial view of model)",1976,César Pelli,1926,1926
"Iris Dome Project, Interior perspective",1994,Chuck Hoberman,1956,1956
"Museum of Vulcanism, Saint-Ours-les-Roches, Auvergne, France, Exterior perspective",1994,Hans Hollein,1934,1934
"Nara Convention Hall Project, Nara, Japan, Competition drawing: east elevation and cross-sections of large and medium halls",1992,Scott Marble,1960,1960
"Nara Convention Hall Project, Nara, Japan, Competition drawing: east elevation and cross-sections of large and medium halls",1992,Karen Fairbanks,1959,1959
"Nara Convention Hall Project, Nara, Japan, Perspective",1992,Yoshito Takahashi,1962,1962
"Staatsgalerie Stuttgart, Stuttgart, Germany, Elevation of gallery entrance",1978,James Stirling,1926,1926
Arkhitekturnye Fantazii,1933,Iakov Chernikhov,1889,1889
"Feature Animation Building, The Walt Disney Company, Burbank, California, South elevation, preliminary study",1992,Robert A. M. Stern,1939,1939
"Seville World Fair, Oman Pavilion, project, Seville, Spain, Axonometric",1989,James Wines,1932,1932
"Seville World Fair, Oman Pavilion, project, Seville, Spain, Axonometric",1989,Michelle Stone,1944,1944
"Seville World Fair, Oman Pavilion, project, Seville, Spain, Axonometric",1989,Emilio Sousa,1944,1944
"ABN-AMRO Bank Project, Amsterdam, The Netherlands, Elevation of Nederlander Boogie Woogie",1996,Harry C. Wolf,1935,1935
Untitled,1996,Mehrdad Yazdani,1959,1959
"Urban projects for Montevideo and São Paulo, Brazil. Aerial perspectives",1929,Le Corbusier (Charles-Édouard Jeanneret),1887,1887
"Maison de la Publicité Project, Paris, France (Exterior perspective)",1936,Hugo Herdeg,1909,1909
"Haystack Mountain School of Crafts, Deer Isle, Maine, Oblique elevation",1962,Edward Larrabee Barnes,1915,1915
"The Hague City Hall, project, The Hague, The Netherlands, Exterior perspective",1987,Götz Keller,1958,1958
"The Hague City Hall, project, The Hague, The Netherlands, Exterior perspective",1987,Willem Jan Neutelings,1959,1959
"The Hague City Hall, project, The Hague, The Netherlands, Exterior perspective",1987,Brigitte Kochta,1958,1958
"The Hague City Hall, project, The Hague, The Netherlands, Exterior perspective",1987,Marty Kohn,1953,1953
"The Hague City Hall, project, The Hague, The Netherlands, Exterior perspective",1987,Luc Reuse,1955,1955
"The Hague City Hall, project, The Hague, The Netherlands, Exterior perspective",1987,Ron Steiner,1952,1952
"The Hague City Hall, project, The Hague, The Netherlands, Exterior perspective",1987,Jeroen Thomas,1952,1952
"The Hague City Hall, project, The Hague, The Netherlands, Exterior perspective",1987,Garciella Torre,1959,1959
"Helix City Project, Tokyo, Japan (Plan)",1961,Kisho Kurokawa,1934,1934
"Miller House, Norristown, Pennsylvania, Rear patio, exterior perspective",1955,Richard Neutra,1892,1892
"Charrette Submission for The Museum of Modern Art Expansion 1997, New York (Manhattan), New York, First Phase",1997,Wiel Arets,1955,1955
"National Commercial Bank, Jeddah, Saudi Arabia (Four plans, preliminary study)",1977,Skidmore Owings & Merrill,1936,1936
"National Commercial Bank, Jeddah, Saudi Arabia (Four plans, preliminary study)",1977,Gordon Bunshaft,1909,1909
"Underground Building, project (Isometric)",1963,Walter Pichler,1936,1936
"Forest Building, Richmond, Virginia (Perspective)",1978,SITE,1970,1970
"Wall House 2 (A. E. Bye House) Project , Ridgefield, Connecticut (Isometric projection)",1973,John Hejduk,1929,1929
"Residential Park, No-Stop City project (Plan)",1969,Andrea Branzi,1938,1938
"Spatial City, project, Aerial perspective",1958,Yona Friedman,1923,1923
"Cities: Moving, Master Vehicle-Habitation Project, Aerial Perspective",1964,Ron Herron,1930,1930
"Fountain House, project, Section A-A",1975,Jorge Silvetti,1942,1942
"Fountain House, project, Section A-A",1975,Rodolfo Machado,1942,1942
"Take-Off, project (Perspective)",1974,Max Peintner,1937,1937
